feature_id	sgd_description	synonym	C8_JCYL001D	C8_JCYL002D	C8_JCYL003D	C8_mean	C8_mean_recomputed	G8_JCYL001B	G8_JCYL002B	G8_JCYL003B	G8_mean	G8_mean_recomputed	ratio_C8_over_G8_recomputed	log2FC_recomputed	is_transgene
AAC1	Mitochondrial inner membrane ADP/ATP translocator	YMR056C	156.9	171.49	152.06	160.15	160.15	107.05	102.37	103.97	104.46	104.463	1.53312	0.616473	no
AAC3	Mitochondrial inner membrane ADP/ATP translocator	YBR085W|ANC3	50.25	48.35	39.84	46.15	46.1467	98.38	108.15	117.61	108.05	108.047	0.427117	-1.2273	no
AAD10	Putative aryl-alcohol dehydrogenase	YJR155W	159.46	222.86	163.68	182	182	173.77	174.73	163.33	170.61	170.61	1.06676	0.0932362	no
AAD14	Putative aryl-alcohol dehydrogenase	YNL331C	34.19	36.13	36.35	35.55	35.5567	100.4	93.85	89.81	94.69	94.6867	0.375436	-1.41336	no
AAD15	Putative aryl-alcohol dehydrogenase	YOL165C	13.8	12.88	12.15	12.95	12.9433	12.25	9.36	10.92	10.84	10.8433	1.19465	0.256587	no
AAD16	Putative aryl alcohol dehydrogenase	YFL057C	32.33	39.92	37.48	36.57	36.5767	37.55	33.79	33.02	34.79	34.7867	1.05116	0.0719879	no
AAD3	Putative aryl-alcohol dehydrogenase	YCR107W	18.43	16.66	18.23	17.78	17.7733	29.42	30.55	29.97	29.98	29.98	0.593062	-0.753745	no
AAD4	Putative aryl-alcohol dehydrogenase	YDL243C	40.83	44.81	39.05	41.56	41.5633	44.04	41.03	44.19	43.08	43.0867	0.964717	-0.0518226	no
AAD6	Putative aryl-alcohol dehydrogenase	YFL056C	26.56	29.36	28.01	27.97	27.9767	31.24	30.81	30.24	30.76	30.7633	0.909298	-0.137175	no
AAH1	Adenine deaminase (adenine aminohydrolase)	YNL141W|adenine deaminase	132.17	145.63	150.8	142.86	142.867	82.76	109.02	117.03	102.94	102.937	1.3878	0.472798	no
AAP1	Arginine/alanine amino peptidase	YHR047C|AAP1'	28.88	25.76	27.25	27.3	27.2967	35.5	35.26	34.2	34.99	34.9867	0.780223	-0.358042	no
AAR2	Component of the U5 snRNP complex	YBL074C	15.16	16.13	15.71	15.66	15.6667	23.29	22.53	22.42	22.74	22.7467	0.688654	-0.538148	no
AAT1	Mitochondrial aspartate aminotransferase	YKL106W|aspartate transaminase AAT1	40.87	41.57	39.45	40.63	40.63	78.53	77.91	80.58	79.01	79.0067	0.514239	-0.95949	no
AAT2	Cytosolic aspartate aminotransferase involved in nitrogen metabolism	YLR027C|ASP5|aspartate transaminase AAT2	235.9	230.67	228.21	231.59	231.593	368.89	359.25	361.55	363.23	363.23	0.637585	-0.64931	no
ABD1	Methyltransferase	YBR236C	48.69	53.52	47.88	50.03	50.03	65.3	62.36	63.95	63.87	63.87	0.78331	-0.352345	no
ABF1	DNA binding protein with possible chromatin-reorganizing activity	YKL112W|BAF1|OBF1|REB2|SBF1	68.28	67.13	63.65	66.35	66.3533	72.3	70.46	74.3	72.35	72.3533	0.91707	-0.124897	no
ABF2	Mitochondrial DNA-binding protein	YMR072W	384.04	381.98	390.89	385.64	385.637	253.02	239.62	247.98	246.87	246.873	1.56212	0.643503	no
