feature_id	pathway	FC_reported	FC_recomputed	log2FC_reported	log2FC_recomputed	FDR_p_reported	C8_mean	G8_mean	is_transgene	sgd_description	synonym
THI4		-64.17	-64.1698	-6.00383	-6.00382	2.3300000000000002E-37	105.53	6771.84	no	Thiazole synthase	YGR144W|ESP35|MOL1
YOR387C		-44.22	-44.2206	-5.46663	-5.46665	4.29E-8	92.78	4102.79	no	Putative protein of unknown function	YOR387C
MET17		-39.61	-39.6079	-5.30779	-5.30772	3.9300000000000001E-42	114.58	4538.27	no	O-acetyl homoserine-O-acetyl serine sulfhydrylase	YLR303W|MET15|MET25|bifunctional cysteine synthase/O-acetylhomoserine aminocarboxypropyltransferase MET17
PDC5		-38.52	-38.5265	-5.26754	-5.26778	2.1199999999999999E-173	16.96	653.41	no	Minor isoform of pyruvate decarboxylase	YLR134W|indolepyruvate decarboxylase 5
MET3		-37.84	-37.8415	-5.24184	-5.2419	6.3099999999999996E-31	32.42	1226.82	no	ATP sulfurylase	YJR010W|sulfate adenylyltransferase
VEL1		-34.05	-34.0467	-5.08958	-5.08944	1.67E-18	124.01	4222.13	no	Protein of unknown function	YGL258W
HXT1		-29.7	-29.7093	-4.89239	-4.89285	5.42E-71	9.84	292.34	no	Low-affinity glucose transporter of the major facilitator superfamily	YHR094C|HOR4
MET14		-22.13	-22.1314	-4.46793	-4.46802	5.0900000000000004E-28	69.7	1542.56	no	Adenylylsulfate kinase	YKL001C|adenylyl-sulfate kinase
SUL2		-17.11	-17.1111	-4.09677	-4.09686	1.38E-47	24.93	426.58	no	High affinity sulfate permease	YLR092W
MET5		-16.21	-16.2119	-4.01881	-4.01898	6.9899999999999999E-60	24.68	400.11	no	Sulfite reductase beta subunit	YJR137C|ECM17|sulfite reductase (NADPH) subunit beta
MET10		-14.7	-14.7045	-3.87774	-3.87818	3.9100000000000002E-51	37.12	545.83	no	Subunit alpha of assimilatory sulfite reductase	YFR030W|sulfite reductase subunit alpha
THI73		-14.2	-14.1967	-3.82782	-3.82748	2.2199999999999999E-253	55.01	780.96	no	Putative plasma membrane permease	YLR004C
MET16		-14.2	-14.1948	-3.82782	-3.82729	1.51E-52	39.64	562.68	no	3'-phosphoadenylsulfate reductase	YPR167C|phosphoadenylyl-sulfate reductase (thioredoxin)
HXT3		-13.85	-13.8511	-3.79181	-3.79192	2.72E-163	131.53	1821.83	no	Low affinity glucose transporter of the major facilitator superfamily	YDR345C
MET2		-13.49	-13.4942	-3.75382	-3.75427	1.2E-56	43.04	580.79	no	L-homoserine-O-acetyltransferase	YNL277W|homoserine O-acetyltransferase
MET6		-12.35	-12.3515	-3.62644	-3.62661	4.4599999999999997E-126	194.22	2398.9	no	Cobalamin-independent methionine synthase	YER091C|5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase
ARN2		-11.54	-11.5422	-3.52857	-3.52884	1.7700000000000001E-151	26.08	301.02	no	Transporter	YHL047C|TAF1
MET1		-11.1	-11.101	-3.47249	-3.47262	4.7299999999999997E-69	34.55	383.54	no	S-adenosyl-L-methionine uroporphyrinogen III transmethylase	YKR069W|MET20|uroporphyrinogen-III C-methyltransferase
ICY2		-11.07	-11.0702	-3.46858	-3.46861	3.8699999999999997E-207	251.65	2785.81	no	Protein of unknown function	YPL250C
THI22		-10.76	-10.7599	-3.42761	-3.42759	7.1800000000000001E-105	24.28	261.25	no	Protein with similarity to hydroxymethylpyrimidine phosphate kinases	YPR121W|putative phosphomethylpyrimidine kinase
