direction	go_term	go_id	p_bonferroni	k_in_category	f_category_size	genes	n_genes
UP	ATP synthesis coupled proton transport	GO:0015986	<1e-14	14	17	ATP1 ATP3 ATP16 ATP5 TIM11 ATP17 ATP2 ATP7 ATP14 ATP18 ATP19 ATP4 ATP15 ATP20	14
UP	ATP biosynthetic process	GO:0006754	9.2030000000000003E-13	14	31	ATP1 ATP3 ATP16 ATP5 TIM11 ATP17 ATP2 ATP7 ATP14 ATP18 ATP19 PMA2 ATP15 ATP20	14
UP	mitochondrial electron transport, ubiquinol to cytochrome c	GO:0006122	5.7329999999999999E-12	9	11	QCR7 RIP1 CYC7 QCR6 QCR9 QCR10 QCR8 CYT1 QCR2	9
UP	proton transport	GO:0015992	5.7339999999999996E-12	15	41	ATP1 ATP3 ATP16 ATP5 TIM11 ATP17 ATP2 ATP7 ATP14 ATP18 ATP19 PMA2 ATP4 ATP15 ATP20	15
UP	electron transport chain	GO:0022900	8.3470000000000007E-12	16	49	COR1 TRX3 SDH4 QCR7 RIP1 CYC7 QCR6 QCR9 QCR10 QCR8 SDH3 SDH1 SDH2 CYT1 CIR2 QCR2	16
UP	oxidation-reduction process	GO:0055114	2.25E-10	34	272	GDH3 PRX1 NDE2 DLD1 SOR2 RIP1 DSF1 CTT1 GND2 SOD2 KGD1 GUT2 RNR2 LIA1 SOR1 GPX1 MDH1 YKL107W SDH1 MCR1 FMP46 SDH2 COX8 NDI1 ERG5 HFD1 NDE1 COX7 COX5A YNR073C CIR2 ALD6 OYE3 ERV2	34
UP	aerobic respiration	GO:0009060	3.2919999999999998E-9	15	61	PET9 COR1 DLD1 QCR7 RIP1 QCR6 COX4 COX13 QCR9 QCR10 QCR8 MDH1 MBR1 ISF1 QCR2	15
UP	carbohydrate metabolic process	GO:0005975	2.5779999999999999E-7	16	94	MAL32 GLK1 EMI2 GLC3 HXK1 NQM1 BGL2 MAL12 GUT1 SUC2 MDH1 PGM2 CAT8 YNR071C IMA2 GDB1	16
UP	response to stress	GO:0006950	6.3870000000000002E-7	20	152	PAU7 SSA3 HSP26 PAU24 HSP30 MRK1 FMP45 PAU2 HSP12 CTT1 NSR1 FMP43 XBP1 HSP104 PAU19 DDR2 ZEO1 PAU21 GRE1 PAU22	20
UP	tricarboxylic acid cycle	GO:0006099	8.0400000000000005E-7	9	30	KGD2 SDH4 LSC2 KGD1 MDH1 SDH3 SDH1 SDH2 MLS1	9
UP	ion transport	GO:0006811	1.5829999999999999E-6	16	107	ATP1 ATP3 HSP30 ATP16 ATP5 TIM11 ATP17 ATP2 ATP7 ATP14 ATP18 ATP19 PMA2 ATP4 ATP15 ATP20	16
UP	mitochondrial electron transport, cytochrome c to oxygen	GO:0006123	1.8360000000000001E-6	6	12	CYC7 COX4 COX6 COX8 COX7 COX5A	6
DOWN	methionine biosynthetic process	GO:0009086	<1e-14	20	31	MET8 HOM2 MET6 MET10 MET13 STR3 ADE3 MET30 MET28 MET3 STR2 MET5 HOM6 MET14 MET1 MHT1 MET17 MET2 MET22 MET16	20
DOWN	cellular amino acid biosynthetic process	GO:0008652	<1e-14	48	98	CYS3 MET8 HIS7 HIS4 LYS21 LYS20 HOM2 TRP4 HOM3 HIS1 MET6 HIS2 MET10 LEU1 TRP5 STR3 CYS4 ADE3 ARG4 BAT1 MET30 SER33 HIS5 MET28 LYS1 ARG2 ARG3 MET3 CPA2 STR2 MET5 HOM6 MET14 TRP3 MET1 MHT1 MET17 ARG7 LEU4 MET2 ARG1 ARG8 ORT1 SER1 HIS3 CPA1 ASN1 MET16	48
DOWN	cysteine biosynthetic process	GO:0019344	3.9720000000000001E-13	10	12	CYS3 MET10 CYS4 MET30 MET28 MET3 MET5 MET14 MET17 MET16	10
DOWN	arginine biosynthetic process	GO:0006526	1.666E-12	9	10	ARG4 ARG2 ARG3 CPA2 ARG7 ARG1 ARG8 ORT1 CPA1	9
DOWN	methionine metabolic process	GO:0006555	5.6370000000000003E-12	10	14	HOM2 SAM2 HOM3 MET13 MET3 HOM6 MET14 SAM1 MET17 MET16	10
DOWN	metabolic process	GO:0008152	6.9589999999999997E-12	48	425	ADH5 MET8 HIS7 HIS4 YCR102C LYS21 LYS20 HOM2 EXG2 TRP4 YDR541C PHM8 HOM3 ALD5 TMT1 MET10 LEU1 TRP5 SCW11 ARI1 SDT1 CYS4 ADE3 FOL2 PAN5 BAT1 IMD2 SER33 HIS5 CPA2 MET5 HOM6 TRP3 URA1 SRY1 MET1 PDC5 MET17 ARG7 SNZ1 ADE17 LEU4 NRK1 DUG3 SER1 POS5 THI6 MET16	48
