item	value	note
dataset_s1_rows_total	6351	Dataset S1 data rows (including the 2 transgene entries)
dataset_s1_host_genes	6349	host gene entries
dataset_s1_transgenes	2	transgene entries (cdt-1EGFP, gh1-1)
dataset_s2_deg_rows	519	the 519 DEGs reported in the original study
dataset_s2_deg_transgenes	1	transgene entries within the 519 (gh1-1)
dataset_s2_tf_rows	19	19 transcription factors
dataset_s2_grn_rows	7	7 GRN regulatory genes
dataset_s3_go_terms_up	12	GO terms on the UP side
dataset_s3_go_terms_down	16	GO terms on the DOWN side
dataset_s3_up_genes	244	UP gene count declared in the Dataset S3 section header
dataset_s3_down_genes	256	DOWN gene count declared in the Dataset S3 section header
dataset_s3_notfound_up	3	genes not mapped by FunSpec on the UP side
dataset_s3_notfound_down	0	genes not mapped by FunSpec on the DOWN side
check_sum_of_parts	503	reconciliation: UP + DOWN + not-found on both sides
check_gap_vs_519	16	gap versus 519; explained in the report (the transgene gh1-1 carries no GO annotation)
