transcript_id	gene_id	source
cdt-1EGFP	cdt-1EGFP	transgene
gh1-1	gh1-1	transgene
rna-NM_001180043.1	YAL068C	host
rna-NM_001184582.1	YAL067W-A	host
rna-NM_001178208.1	YAL067C	host
rna-NM_001179897.1	YAL065C	host
rna-NM_001180042.1	YAL064W-B	host
rna-NM_001180041.1	YAL064C-A	host
rna-NM_001178206.2	YAL064W	host
rna-NM_001184642.1	YAL063C-A	host
rna-NM_001178205.1	YAL063C	host
rna-NM_001178204.1	YAL062W	host
rna-NM_001178203.1	YAL061W	host
rna-NM_001178202.2	YAL060W	host
rna-NM_001178201.2	YAL059W	host
rna-NM_001178200.1	YAL058W	host
rna-NM_001178199.2	YAL056W	host
rna-NM_001178198.1	YAL055W	host
rna-NM_001178197.1	YAL054C	host
rna-NM_001178196.2	YAL053W	host
rna-NM_001178195.2	YAL051W	host
rna-NM_001178194.1	YAL049C	host
rna-NM_001178193.1	YAL048C	host
rna-NM_001178192.2	YAL047C	host
rna-NM_001178191.1	YAL046C	host
rna-NM_001184453.1	YAL044W-A	host
rna-NM_001178189.1	YAL044C	host
rna-NM_001178188.1	YAL043C	host
rna-NM_001178187.1	YAL042W	host
rna-NM_001178186.1	YAL041W	host
rna-NM_001178185.1	YAL040C	host
rna-NM_001178184.1	YAL039C	host
rna-NM_001178183.1	YAL038W	host
rna-NM_001184629.1	YAL037C-A	host
rna-NM_001178182.1	YAL037W	host
rna-NM_001178181.1	YAL036C	host
rna-NM_001178180.1	YAL035W	host
rna-NM_001178179.1	YAL034W-A	host
rna-NM_001180035.1	YAL034C	host
rna-NM_001178178.1	YAL033W	host
rna-NM_001178177.1	YAL032C	host
rna-NM_001178176.1	YAL031C	host
rna-NM_001178175.1	YAL030W	host
rna-NM_001178174.1	YAL029C	host
rna-NM_001178173.1	YAL028W	host
rna-NM_001178172.1	YAL027W	host
rna-NM_001178171.2	YAL026C	host
rna-NR_132149.1	YNCA0001W	host
rna-NM_001178170.2	YAL025C	host
rna-NM_001178169.1	YAL024C	host
rna-NM_001178168.1	YAL023C	host
rna-NM_001178167.1	YAL022C	host
rna-NM_001178166.1	YAL021C	host
rna-NM_001178165.2	YAL020C	host
rna-NM_001178164.1	YAL019W	host
rna-NM_001178163.1	YAL018C	host
rna-NM_001178162.2	YAL017W	host
rna-NM_001178161.1	YAL016W	host
rna-NM_001178160.1	YAL015C	host
rna-NM_001178159.1	YAL014C	host
rna-NM_001178158.2	YAL013W	host
rna-NM_001178157.1	YAL012W	host
rna-NM_001178156.1	YAL011W	host
rna-NM_001178155.2	YAL010C	host
rna-NM_001178154.1	YAL009W	host
rna-NM_001178153.1	YAL008W	host
rna-NM_001178152.1	YAL007C	host
rna-YNCA0002W	YNCA0002W	host
rna-NM_001178151.1	YAL005C	host
rna-NM_001178150.1	YAL003W	host
rna-NR_132150.1	YNCA0003W	host
rna-NM_001178149.1	YAL002W	host
rna-NM_001178148.1	YAL001C	host
rna-NM_001178209.1	YAR002W	host
rna-NM_001180033.1	YAR002C-A	host
rna-NM_001178210.1	YAR003W	host
rna-NM_001178211.1	YAR007C	host
rna-NM_001178212.1	YAR008W	host
rna-NM_001178213.1	YAR009C	host
rna-NM_001178214.1	YAR010C	host
rna-YNCA0004W	YNCA0004W	host
rna-NM_001178215.2	YAR014C	host
rna-NM_001178216.1	YAR015W	host
rna-NM_001178217.1	YAR018C	host
rna-NM_001178218.2	YAR019C	host
rna-NM_001178219.1	YAR020C	host
rna-NM_001178220.2	YAR023C	host
rna-YNCA0005W	YNCA0005W	host
rna-YNCA0006C	YNCA0006C	host
rna-NM_001178221.1	YAR027W	host
rna-NM_001178222.1	YAR028W	host
rna-NM_001178223.1	YAR029W	host
rna-NM_001178224.1	YAR031W	host
rna-NM_001178225.1	YAR033W	host
rna-NM_001178226.1	YAR035W	host
rna-NM_001184583.1	YAR035C-A	host
rna-NM_001178227.1	YAR042W	host
rna-NM_001178230.1	YAR050W	host
rna-YAR061W	YAR061W	host
rna-NM_001178235.1	YAR064W	host
rna-NM_001180045.1	YAR066W	host
rna-NM_001178236.1	YAR068W	host
rna-NM_001178239.1	YAR071W	host
rna-NM_001180054.1	YBL113C	host
rna-NM_001180053.1	YBL112C	host
rna-NM_001180052.1	YBL111C	host
rna-NM_001184458.1	YBL108C-A	host
rna-YNCB0001W	YNCB0001W	host
rna-NM_001178347.1	YBL107C	host
rna-NM_001178346.2	YBL106C	host
rna-NM_001178345.2	YBL105C	host
rna-NM_001178344.1	YBL104C	host
rna-NM_001178343.1	YBL103C	host
rna-NM_001178342.1	YBL102W	host
rna-NM_001178341.1	YBL101C	host
rna-NM_001184585.1	YBL100W-C	host
rna-NM_001180049.1	YBL100W-A	host
rna-NM_001180050.2	YBL100W-B	host
rna-YNCB0002W	YNCB0002W	host
rna-NM_001178339.2	YBL099W	host
rna-NM_001178338.1	YBL098W	host
rna-NM_001178337.2	YBL097W	host
rna-NM_001178335.1	YBL095W	host
rna-NM_001178333.1	YBL093C	host
rna-NM_001178332.1	YBL092W	host
rna-NM_001184321.1	YBL091C-A	host
rna-NM_001178331.2	YBL091C	host
rna-NM_001178330.1	YBL090W	host
rna-NM_001178329.1	YBL089W	host
rna-NM_001178328.2	YBL088C	host
rna-NM_001178327.1	YBL087C	host
rna-NM_001178326.1	YBL086C	host
rna-NM_001178325.1	YBL085W	host
rna-NM_001178324.2	YBL084C	host
rna-NM_001178322.1	YBL082C	host
rna-NM_001178321.1	YBL081W	host
rna-NM_001178320.2	YBL080C	host
rna-NM_001178319.1	YBL079W	host
rna-NM_001178318.1	YBL078C	host
rna-NM_001178316.1	YBL076C	host
rna-NM_001178315.1	YBL075C	host
rna-NM_001178314.1	YBL074C	host
rna-NR_132151.1	YNCB0003W	host
rna-NM_001178312.1	YBL072C	host
rna-NM_001184584.1	YBL071C-B	host
rna-NM_001184454.1	YBL071W-A	host
rna-NM_001346794.1	YBL071C	host
rna-NM_001178309.1	YBL069W	host
rna-NM_001178308.2	YBL068W	host
rna-NM_001178307.2	YBL067C	host
rna-NM_001178306.1	YBL066C	host
rna-NM_001178304.1	YBL064C	host
rna-NM_001178303.1	YBL063W	host
rna-NM_001178301.1	YBL061C	host
rna-NM_001178300.1	YBL060W	host
rna-NM_001184440.1	YBL059C-A	host
rna-NM_001178299.1	YBL059W	host
rna-NM_001178298.1	YBL058W	host
rna-NM_001178297.2	YBL057C	host
rna-NM_001178296.2	YBL056W	host
rna-NM_001178295.1	YBL055C	host
rna-NM_001178294.1	YBL054W	host
rna-NM_001178292.1	YBL052C	host
rna-NM_001178291.1	YBL051C	host
rna-NM_001178290.1	YBL050W	host
rna-NM_001178289.1	YBL049W	host
rna-NM_001348869.1	YBL048W	host
rna-NM_001178287.1	YBL047C	host
rna-NM_001178286.1	YBL046W	host
rna-NM_001178285.1	YBL045C	host
rna-NM_001178284.1	YBL044W	host
rna-NM_001178283.1	YBL043W	host
rna-NM_001178282.1	YBL042C	host
rna-NM_001178281.1	YBL041W	host
rna-NM_001178280.1	YBL040C	host
rna-NM_001184527.1	YBL039W-B	host
rna-NM_001178279.1	YBL039C	host
rna-NM_001178278.1	YBL038W	host
rna-NM_001178277.1	YBL037W	host
rna-NM_001178276.1	YBL036C	host
rna-NM_001178275.1	YBL035C	host
rna-NM_001178274.1	YBL034C	host
rna-NM_001178273.1	YBL033C	host
rna-NM_001178272.1	YBL032W	host
rna-NM_001178271.1	YBL031W	host
rna-NM_001178270.1	YBL030C	host
rna-NM_001184457.1	YBL029C-A	host
rna-NM_001178269.1	YBL029W	host
rna-NM_001178268.1	YBL028C	host
rna-NM_001178267.1	YBL027W	host
rna-NM_001178266.1	YBL026W	host
rna-NM_001178265.1	YBL025W	host
rna-NM_001178264.1	YBL024W	host
rna-NM_001178263.1	YBL023C	host
rna-NM_001178262.1	YBL022C	host
rna-NM_001178261.1	YBL021C	host
rna-NM_001178260.1	YBL020W	host
