term	term_name	gene	aspect
GO:0005739	mitochondrion	YAL001C	slim
GO:0043226	organelle	YAL001C	slim
GO:0032991	protein-containing complex	YAL001C	slim
GO:0000127	transcription factor TFIIIC complex	YAL001C	slim
GO:0005667	transcription regulator complex	YAL001C	slim
GO:0003677	DNA binding	YAL001C	slim
GO:0006351	DNA-templated transcription	YAL001C	slim
GO:0009058	biosynthetic process	YAL001C	slim
GO:0006383	transcription by RNA polymerase III	YAL001C	slim
GO:0033263	CORVET complex	YAL002W	slim
GO:0031410	cytoplasmic vesicle	YAL002W	slim
GO:0005768	endosome	YAL002W	slim
GO:0016020	membrane	YAL002W	slim
GO:0043226	organelle	YAL002W	slim
GO:0032991	protein-containing complex	YAL002W	slim
GO:0019899	enzyme binding	YAL002W	slim
GO:0043167	ion binding	YAL002W	slim
GO:0030674	protein-macromolecule adaptor activity	YAL002W	slim
GO:0016197	endosomal transport	YAL002W	slim
GO:0061024	membrane organization	YAL002W	slim
GO:0007009	plasma membrane organization	YAL002W	slim
GO:0006605	protein targeting	YAL002W	slim
GO:0006810	transport	YAL002W	slim
GO:0007034	vacuolar transport	YAL002W	slim
GO:0016192	vesicle-mediated transport	YAL002W	slim
GO:0005853	eukaryotic translation elongation factor 1 complex	YAL003W	slim
GO:0032991	protein-containing complex	YAL003W	slim
GO:0030234	enzyme regulator activity	YAL003W	slim
GO:0005085	guanyl-nucleotide exchange factor activity	YAL003W	slim
GO:0009058	biosynthetic process	YAL003W	slim
GO:0033043	regulation of organelle organization	YAL003W	slim
GO:0006417	regulation of translation	YAL003W	slim
GO:0006414	translational elongation	YAL003W	slim
GO:0005575	cellular component	YAL004W	slim
GO:0003674	molecular function	YAL004W	slim
GO:0008150	biological process	YAL004W	slim
GO:0005618	cell wall	YAL005C	slim
GO:0005737	cytoplasm	YAL005C	slim
GO:0005829	cytosol	YAL005C	slim
GO:0030312	external encapsulating structure	YAL005C	slim
GO:0016020	membrane	YAL005C	slim
GO:0005634	nucleus	YAL005C	slim
GO:0043226	organelle	YAL005C	slim
GO:0005886	plasma membrane	YAL005C	slim
GO:0016887	ATP hydrolysis activity	YAL005C	slim
GO:0003723	RNA binding	YAL005C	slim
GO:0016787	hydrolase activity	YAL005C	slim
GO:0009058	biosynthetic process	YAL005C	slim
GO:0009056	catabolic process	YAL005C	slim
GO:0002181	cytoplasmic translation	YAL005C	slim
GO:0051169	nuclear transport	YAL005C	slim
GO:0006913	nucleocytoplasmic transport	YAL005C	slim
GO:0030163	protein catabolic process	YAL005C	slim
GO:0006457	protein folding	YAL005C	slim
GO:0070647	protein modification by small protein conjugation or removal	YAL005C	slim
GO:0009408	response to heat	YAL005C	slim
GO:0006950	response to stress	YAL005C	slim
GO:0006412	translation	YAL005C	slim
GO:0055085	transmembrane transport	YAL005C	slim
GO:0006810	transport	YAL005C	slim
GO:0031410	cytoplasmic vesicle	YAL007C	slim
GO:0005783	endoplasmic reticulum	YAL007C	slim
GO:0043226	organelle	YAL007C	slim
GO:0003674	molecular function	YAL007C	slim
GO:0048193	Golgi vesicle transport	YAL007C	slim
GO:0006810	transport	YAL007C	slim
GO:0016192	vesicle-mediated transport	YAL007C	slim
GO:0016020	membrane	YAL008W	slim
GO:0005739	mitochondrion	YAL008W	slim
GO:0043226	organelle	YAL008W	slim
GO:0003674	molecular function	YAL008W	slim
GO:0042592	homeostatic process	YAL008W	slim
GO:0007005	mitochondrion organization	YAL008W	slim
GO:0071595	Nem1-Spo7 phosphatase complex	YAL009W	slim
GO:0005783	endoplasmic reticulum	YAL009W	slim
GO:0016020	membrane	YAL009W	slim
GO:0043226	organelle	YAL009W	slim
GO:0032991	protein-containing complex	YAL009W	slim
GO:0016787	hydrolase activity	YAL009W	slim
GO:0016791	phosphatase activity	YAL009W	slim
GO:0009056	catabolic process	YAL009W	slim
GO:0061024	membrane organization	YAL009W	slim
GO:0032865	ERMES complex	YAL010C	slim
GO:0001401	SAM complex	YAL010C	slim
GO:0016020	membrane	YAL010C	slim
GO:0005742	mitochondrial outer membrane translocase complex	YAL010C	slim
GO:0032991	protein-containing complex	YAL010C	slim
GO:0003674	molecular function	YAL010C	slim
GO:0022607	cellular component assembly	YAL010C	slim
GO:0006869	lipid transport	YAL010C	slim
GO:0061024	membrane organization	YAL010C	slim
GO:0007005	mitochondrion organization	YAL010C	slim
GO:0007031	peroxisome organization	YAL010C	slim
GO:0065003	protein-containing complex assembly	YAL010C	slim
GO:0006810	transport	YAL010C	slim
GO:0000812	Swr1 complex	YAL011W	slim
GO:0000118	histone deacetylase complex	YAL011W	slim
GO:0005739	mitochondrion	YAL011W	slim
GO:0005634	nucleus	YAL011W	slim
GO:0043226	organelle	YAL011W	slim
GO:0032991	protein-containing complex	YAL011W	slim
GO:0003677	DNA binding	YAL011W	slim
GO:0003682	chromatin binding	YAL011W	slim
GO:0006325	chromatin organization	YAL011W	slim
GO:0005737	cytoplasm	YAL012W	slim
GO:0005829	cytosol	YAL012W	slim
GO:0005634	nucleus	YAL012W	slim
GO:0043226	organelle	YAL012W	slim
