gene_id	in_this_study	in_original	class
YEL070W	TRUE	TRUE	both
YMR175W	TRUE	TRUE	both
YGR144W	TRUE	TRUE	both
YDR345C	TRUE	TRUE	both
YJR010W	TRUE	TRUE	both
YLR134W	TRUE	TRUE	both
YPL223C	TRUE	TRUE	both
YNR073C	TRUE	TRUE	both
YHR094C	TRUE	TRUE	both
YFR053C	TRUE	TRUE	both
YKR097W	TRUE	TRUE	both
YKL001C	TRUE	TRUE	both
YHR033W	TRUE	TRUE	both
YBR050C	TRUE	TRUE	both
YGR292W	TRUE	TRUE	both
YDR343C	TRUE	TRUE	both
YLR092W	TRUE	TRUE	both
YDR119W-A	TRUE	TRUE	both
YJR137C	TRUE	TRUE	both
YLR327C	TRUE	TRUE	both
YFR030W	TRUE	TRUE	both
YLR004C	TRUE	TRUE	both
YPR167C	TRUE	TRUE	both
YNR071C	TRUE	TRUE	both
YNL277W	TRUE	TRUE	both
YDR261C-D	TRUE	TRUE	both
YER091C	TRUE	TRUE	both
YHL047C	TRUE	TRUE	both
YKR069W	TRUE	TRUE	both
YPL250C	TRUE	TRUE	both
YPR121W	TRUE	TRUE	both
YBR092C	TRUE	TRUE	both
YIL074C	TRUE	TRUE	both
YDL049C	TRUE	TRUE	both
YPR030W	TRUE	TRUE	both
YJL116C	TRUE	TRUE	both
YJL213W	TRUE	TRUE	both
YDL204W	TRUE	TRUE	both
YGL184C	TRUE	TRUE	both
YBL075C	TRUE	TRUE	both
YKL148C	TRUE	TRUE	both
YMR174C	TRUE	TRUE	both
YHR018C	TRUE	TRUE	both
YOR178C	TRUE	TRUE	both
YMR206W	TRUE	TRUE	both
YAL012W	TRUE	TRUE	both
YLR180W	TRUE	TRUE	both
YHR008C	TRUE	TRUE	both
YJL088W	TRUE	TRUE	both
YDR019C	TRUE	TRUE	both
YOL158C	TRUE	TRUE	both
YOL058W	TRUE	TRUE	both
YNL144C	TRUE	TRUE	both
YIL136W	TRUE	TRUE	both
YNL284C-B	TRUE	TRUE	both
YJR077C	TRUE	TRUE	both
YKL217W	TRUE	TRUE	both
YHR029C	TRUE	TRUE	both
YHR096C	TRUE	TRUE	both
YHL028W	TRUE	TRUE	both
YMR062C	TRUE	TRUE	both
YER069W	TRUE	TRUE	both
YIR034C	TRUE	TRUE	both
YER175C	TRUE	TRUE	both
YMR189W	TRUE	TRUE	both
YOR092W	TRUE	TRUE	both
YIL121W	TRUE	TRUE	both
YGR138C	TRUE	TRUE	both
YGL187C	TRUE	TRUE	both
YER052C	TRUE	TRUE	both
YLL041C	TRUE	TRUE	both
YBR213W	TRUE	TRUE	both
YOR184W	TRUE	TRUE	both
YKL211C	TRUE	TRUE	both
YLR179C	TRUE	TRUE	both
YEL071W	TRUE	TRUE	both
YOL119C	TRUE	TRUE	both
YOL064C	TRUE	TRUE	both
YBR039W	TRUE	TRUE	both
YEL069C	TRUE	TRUE	both
YIL155C	TRUE	TRUE	both
YGL162W	TRUE	TRUE	both
YJR121W	TRUE	TRUE	both
YGR201C	TRUE	TRUE	both
YAL062W	TRUE	TRUE	both
YHR001W-A	TRUE	TRUE	both
YMR118C	TRUE	TRUE	both
YBL099W	TRUE	TRUE	both
YKL109W	TRUE	TRUE	both
YBL045C	TRUE	TRUE	both
YMR265C	TRUE	TRUE	both
YNL195C	TRUE	TRUE	both
YDR178W	TRUE	TRUE	both
YDR529C	TRUE	TRUE	both
YOR047C	TRUE	TRUE	both
YOL052C-A	TRUE	TRUE	both
YEL024W	TRUE	TRUE	both
YDL059C	TRUE	TRUE	both
YDR277C	TRUE	TRUE	both
YKL068W-A	TRUE	TRUE	both
YER055C	TRUE	TRUE	both
YDL222C	TRUE	TRUE	both
YIL101C	TRUE	TRUE	both
YOR222W	TRUE	TRUE	both
YLR452C	TRUE	TRUE	both
YGR055W	TRUE	TRUE	both
YGR155W	TRUE	TRUE	both
YLR058C	TRUE	TRUE	both
YKL163W	TRUE	TRUE	both
YPL274W	TRUE	TRUE	both
YAL039C	TRUE	TRUE	both
YDR536W	TRUE	TRUE	both
YDL048C	TRUE	TRUE	both
YJL166W	TRUE	TRUE	both
YBL030C	TRUE	TRUE	both
YBR158W	TRUE	TRUE	both
YMR045C	TRUE	TRUE	both
YJL060W	TRUE	TRUE	both
YKL085W	TRUE	TRUE	both
YPL264C	TRUE	TRUE	both
YNL104C	TRUE	TRUE	both
YDR070C	TRUE	TRUE	both
YMR114C	TRUE	TRUE	both
YGL191W	TRUE	TRUE	both
YKL141W	TRUE	TRUE	both
YGR256W	TRUE	TRUE	both
YGL009C	TRUE	TRUE	both
YGL157W	TRUE	TRUE	both
YLR303W	TRUE	TRUE	both
YJR004C	TRUE	TRUE	both
YPL134C	TRUE	TRUE	both
YMR256C	TRUE	TRUE	both
YFR033C	TRUE	TRUE	both
YDR253C	TRUE	TRUE	both
YGR236C	TRUE	TRUE	both
YNR044W	TRUE	TRUE	both
YPL186C	TRUE	TRUE	both
YDR077W	TRUE	TRUE	both
YDL004W	TRUE	TRUE	both
YGL117W	TRUE	TRUE	both
YJR109C	TRUE	TRUE	both
YPL036W	TRUE	TRUE	both
YHR126C	TRUE	TRUE	both
YNL052W	TRUE	TRUE	both
YPL057C	TRUE	TRUE	both
YML081C-A	TRUE	TRUE	both
YHR162W	TRUE	TRUE	both
YGL186C	TRUE	TRUE	both
YKL096W-A	TRUE	TRUE	both
YDR354W	TRUE	TRUE	both
YHL032C	TRUE	TRUE	both
YCR020C	TRUE	TRUE	both
YFL011W	TRUE	TRUE	both
YLR130C	TRUE	TRUE	both
YER054C	TRUE	TRUE	both
YGR282C	TRUE	TRUE	both
YHR112C	TRUE	TRUE	both
YJR111C	TRUE	TRUE	both
YEL072W	TRUE	TRUE	both
YDL170W	TRUE	TRUE	both
YIL164C	TRUE	TRUE	both
YGL125W	TRUE	TRUE	both
YLR420W	TRUE	TRUE	both
YDR298C	TRUE	TRUE	both
YKL150W	TRUE	TRUE	both
YOR303W	TRUE	TRUE	both
YGL224C	TRUE	TRUE	both
YBR298C	TRUE	TRUE	both
YDR377W	TRUE	TRUE	both
YIR017C	TRUE	TRUE	both
YCL040W	TRUE	TRUE	both
YDR170W-A	TRUE	TRUE	both
YDR516C	TRUE	TRUE	both
YBR104W	TRUE	TRUE	both
YBL015W	TRUE	TRUE	both
YPR191W	TRUE	TRUE	both
YOR130C	TRUE	TRUE	both
YGR088W	TRUE	TRUE	both
YPR184W	TRUE	TRUE	both
YDR158W	TRUE	TRUE	both
YBR256C	TRUE	TRUE	both
YGR243W	TRUE	TRUE	both
YKL128C	TRUE	TRUE	both
YGR204W	TRUE	TRUE	both
YDL223C	TRUE	TRUE	both
YLR256W-A	TRUE	FALSE	this_study_only
YPL054W	TRUE	TRUE	both
YML120C	TRUE	TRUE	both
YBR240C	TRUE	TRUE	both
YBR117C	TRUE	TRUE	both
YLR227W-B	TRUE	TRUE	both
YGR244C	TRUE	TRUE	both
YML018C	TRUE	TRUE	both
YMR096W	TRUE	TRUE	both
YGR174C	TRUE	TRUE	both
YNL191W	TRUE	TRUE	both
YPL271W	TRUE	TRUE	both
YLR038C	TRUE	TRUE	both
YOL140W	TRUE	TRUE	both
YKL016C	TRUE	TRUE	both
YKL120W	TRUE	TRUE	both
YHR138C	TRUE	TRUE	both
YDR502C	TRUE	TRUE	both
YMR081C	TRUE	TRUE	both
YLR395C	TRUE	TRUE	both
YJR029W	TRUE	FALSE	this_study_only
YHR051W	TRUE	TRUE	both
YKL178C	TRUE	TRUE	both
YGR267C	TRUE	TRUE	both
YBR021W	TRUE	TRUE	both
YHR143W	TRUE	TRUE	both
YHL036W	TRUE	TRUE	both
YHR139C	TRUE	TRUE	both
YFR017C	TRUE	TRUE	both
YLR295C	TRUE	TRUE	both
YPL078C	TRUE	TRUE	both
YJL101C	TRUE	TRUE	both
YNR014W	TRUE	TRUE	both
YDR541C	TRUE	TRUE	both
YKL201C	TRUE	TRUE	both
YIL165C	TRUE	TRUE	both
YPL188W	TRUE	TRUE	both
YNL221C	TRUE	TRUE	both
YDL081C	TRUE	FALSE	this_study_only
YOL077W-A	TRUE	TRUE	both
YDL085W	TRUE	TRUE	both
YER124C	TRUE	TRUE	both
YIL117C	TRUE	TRUE	both
YOR065W	TRUE	TRUE	both
YMR110C	TRUE	TRUE	both
YDL174C	TRUE	TRUE	both
YGR087C	TRUE	TRUE	both
YPL061W	TRUE	TRUE	both
YHR208W	TRUE	TRUE	both
YHL016C	TRUE	TRUE	both
YJL026W	TRUE	TRUE	both
YML091C	TRUE	TRUE	both
YBL064C	TRUE	TRUE	both
YPL171C	TRUE	TRUE	both
YJR027W	TRUE	TRUE	both
YDL131W	TRUE	TRUE	both
YDL181W	TRUE	TRUE	both
YJR147W	TRUE	TRUE	both
YIL057C	TRUE	TRUE	both
YEL073C	TRUE	TRUE	both
YMR107W	TRUE	TRUE	both
YOR215C	TRUE	TRUE	both
YPR010C-A	TRUE	TRUE	both
YGR043C	TRUE	TRUE	both
YDR210C-D	TRUE	FALSE	this_study_only
YIL116W	TRUE	TRUE	both
YGL026C	TRUE	TRUE	both
YPR037C	TRUE	TRUE	both
YER060W-A	TRUE	TRUE	both
YDL130W-A	TRUE	TRUE	both
YDL054C	TRUE	TRUE	both
YPL214C	TRUE	TRUE	both
YDR148C	TRUE	TRUE	both
YPR145W	TRUE	TRUE	both
YIL024C	TRUE	TRUE	both
YGL223C	TRUE	TRUE	both
YNL311C	TRUE	TRUE	both
YJR115W	TRUE	TRUE	both
YKL026C	TRUE	TRUE	both
YLR367W	TRUE	TRUE	both
YDR322C-A	TRUE	TRUE	both
YMR280C	TRUE	TRUE	both
YBR201C-A	TRUE	TRUE	both
YDR126W	TRUE	TRUE	both
YGL248W	TRUE	TRUE	both
YDL066W	TRUE	TRUE	both
YDL198C	TRUE	TRUE	both
YDR098C-B	TRUE	FALSE	this_study_only
YGR183C	TRUE	TRUE	both
YFL036W	TRUE	FALSE	this_study_only
YIL073C	TRUE	TRUE	both
YNCB0019C	TRUE	FALSE	this_study_only
