gene_id	LFC_MLE	log2FC_recomputed
cdt-1EGFP	1.58288553415519	0.904107
gh1-1	1.75920347981526	1.11141
YAL001C	-0.00037656523644144	-0.0683951
YAL002W	0.122603783832737	0.0589413
YAL003W	0.759600579672587	0.651687
YAL005C	1.56505172614424	0.819094
YAL007C	-0.177494447638052	-0.206102
YAL008W	0.273038651758529	0.256595
YAL009W	-0.139443613743795	-0.164256
YAL010C	-0.332427556864867	-0.336072
YAL011W	0.32738851787022	0.294412
YAL012W	-2.72197780702571	-2.87011
YAL013W	0.203814549812702	-0.364283
YAL014C	-0.242573861916738	-0.294587
YAL015C	-0.360985601960355	-0.528104
YAL016W	0.0979084020589873	0.0558326
YAL017W	0.159714314012362	0.124872
YAL019W	0.148136043536493	0.110867
YAL020C	0.569935611758174	-0.0880813
YAL021C	0.612045288674513	0.0187609
YAL022C	-0.698789356606155	-0.909235
YAL023C	-0.125641691063055	-0.214932
YAL024C	0.18002866052691	0.160019
YAL025C	0.362218656470642	0.332885
YAL026C	-0.233913513144011	-0.250552
YAL027W	0.299399499141262	0.278353
YAL028W	-0.0638758588308704	-0.111221
YAL029C	-0.197605733381991	-0.203012
YAL030W	-0.0426136228517917	-0.0596512
YAL031C	-0.296931743568428	-0.33027
YAL032C	0.448149843422851	0.373337
YAL033W	0.126942089955218	0.112127
YAL034C	0.472207410264943	0.378512
YAL034W-A	0.204060505992787	0.185724
YAL035W	0.471555374373974	0.422986
YAL036C	0.2650831179588	0.0616557
YAL037C-A	-0.257169973538032	-0.285722
YAL037W	-0.494147644212669	-0.511708
YAL038W	0.0943858139191683	-0.124241
YAL039C	2.2467084449237	1.84055
YAL040C	-0.184621353147418	-0.390406
YAL041W	-0.285639583893217	-0.304762
YAL042W	0.130801298612791	-0.355386
YAL043C	-0.191347032267463	-0.38153
YAL044C	-1.28146926440391	-1.40682
YAL044W-A	0.845643397893196	0.762618
YAL046C	0.478264760108144	0.394406
YAL047C	-0.0436555251356145	-0.0541174
YAL048C	-0.263194191804275	-0.297976
YAL049C	0.471537511580604	0.427142
YAL051W	-0.0815097364804889	-0.0944288
YAL053W	0.529047560432796	0.452553
YAL054C	1.62734654649224	1.53712
YAL055W	0.460348635078221	0.402612
YAL056W	0.185710024144281	0.0467917
YAL058W	-0.381789643758005	-0.467817
YAL059W	0.2387756813044	0.218853
YAL060W	0.739498221576625	0.583714
YAL061W	0.0180241793321399	-0.182824
YAL062W	1.46120243475372	1.22119
YAL063C	0.334023075277202	0.172728
YAL063C-A	0.279478739892646	0.142372
YAL064C-A	-0.0104282993513414	-0.0941883
YAL064W	-0.16493461034887	-0.305214
YAL064W-B	-0.390732035178785	-0.255122
YAL065C	-0.212159455653262	-0.391042
YAL067C	-1.5671822728625	-1.60315
YAL067W-A	0.0585275101920866	-1.32641
YAL068C	0.129142340257048	-0.486155
YAR002C-A	0.0853573686629595	0.0513217
YAR002W	-0.430398930890938	-0.440554
YAR003W	-0.412555858876386	-0.42368
YAR007C	0.626138905713688	0.610732
YAR008W	0.320192391115035	0.30828
YAR009C	-1.86269675976155	-1.97631
YAR014C	-0.519392182836335	-0.566989
YAR015W	-0.273619613069756	-0.37176
YAR018C	-0.516653675152386	-0.524996
YAR019C	-0.11533032604814	-0.151884
YAR020C	2.44269623984182	1.80999
YAR023C	-0.436611724007461	-0.457974
YAR027W	6.36954966743661e-05	-0.0158235
YAR028W	-0.811329921576929	-0.898625
YAR029W	-0.403269166471502	-0.380431
YAR031W	-0.160815805820609	-0.193296
YAR033W	-0.512824028541818	-0.483531
YAR035W	0.0986277044026758	-0.466527
YAR042W	0.149240601768337	0.0274481
YAR050W	0.1249132443603	0.0274285
YAR061W	-0.871988079644232	-0.909668
YAR064W	-0.189154379417238	-0.499306
YAR066W	0.152839978857847	-0.199087
YAR068W	-0.959201418934325	-0.955053
YAR071W	-0.368072307369536	-0.453998
YBL001C	0.584745076140914	0.554673
YBL002W	-0.606197585323858	-0.642291
YBL003C	-0.646983362349935	-0.669843
YBL004W	0.626921632814835	0.608339
YBL005W	-0.510313256286293	-0.575888
YBL005W-B	-1.60340356481957	-1.34027
YBL006C	0.0343359440261711	-0.104247
YBL007C	0.56251229291994	0.277821
YBL008W	-0.0155087856979201	-0.0326047
YBL008W-A	-0.87708734710798	-0.915936
YBL009W	-0.00564750972950298	-0.01805
YBL010C	-0.275753216900046	-0.299424
YBL011W	-0.0904837994273518	-0.153733
YBL013W	0.262344340554712	-0.0496214
YBL014C	0.128550713017783	0.043813
YBL015W	1.45932218923536	1.33462
