padj_cut	lfc_cut	n_our	overlap	precision	recall
0.001	0	3427	516	0.150569010796615	0.994219653179191
0.005	0	3744	516	0.137820512820513	0.994219653179191
0.01	0	3898	516	0.132375577219087	0.994219653179191
0.05	0	4315	516	0.119582850521437	0.994219653179191
0.1	0	4583	516	0.112590006545931	0.994219653179191
0.2	0	4859	516	0.106194690265487	0.994219653179191
0.001	0.5	1640	516	0.314634146341463	0.994219653179191
0.005	0.5	1663	516	0.310282621767889	0.994219653179191
0.01	0.5	1672	516	0.308612440191388	0.994219653179191
0.05	0.5	1693	516	0.304784406379209	0.994219653179191
0.1	0.5	1710	516	0.301754385964912	0.994219653179191
0.2	0.5	1726	516	0.298957126303592	0.994219653179191
0.001	1	632	496	0.784810126582278	0.955684007707129
0.005	1	638	496	0.777429467084639	0.955684007707129
0.01	1	639	496	0.776212832550861	0.955684007707129
0.05	1	644	496	0.770186335403727	0.955684007707129
0.1	1	645	496	0.768992248062015	0.955684007707129
0.2	1	645	496	0.768992248062015	0.955684007707129
0.001	1.5	362	313	0.864640883977901	0.603082851637765
0.005	1.5	362	313	0.864640883977901	0.603082851637765
0.01	1.5	363	313	0.862258953168044	0.603082851637765
0.05	1.5	364	313	0.85989010989011	0.603082851637765
0.1	1.5	365	313	0.857534246575342	0.603082851637765
0.2	1.5	365	313	0.857534246575342	0.603082851637765
0.001	2	196	164	0.836734693877551	0.315992292870906
0.005	2	196	164	0.836734693877551	0.315992292870906
0.01	2	196	164	0.836734693877551	0.315992292870906
0.05	2	197	164	0.83248730964467	0.315992292870906
0.1	2	198	164	0.828282828282828	0.315992292870906
0.2	2	198	164	0.828282828282828	0.315992292870906
