ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
amino acid metabolic process	amino acid metabolic process	222	-0.657645349602018	-2.6471071667125	1.56552495795008e-23	4.17525506285286e-20	3.78033079319735e-20	777	tags=43%, list=13%, signal=39%	YMR009W/YIL094C/YML099C/YHR020W/YHR025W/YLR451W/YPR118W/YMR303C/YLR027C/YBR166C/YBL098W/YNL040W/YOR108W/YML076C/YDR034C/YGL148W/YGL154C/YLL058W/YDR127W/YNL316C/YIL020C/YCL009C/YDR037W/YNR050C/YOR323C/YGR185C/YJR148W/YDR341C/YGR124W/YDL080C/YLR089C/YER090W/YFR055W/YMR020W/YDR035W/YKL218C/YKL106W/YCL064C/YER086W/YGL202W/YBR248C/YFR025C/YJR139C/YGL026C/YDL131W/YJR130C/YHR208W/YDL182W/YDR158W/YNL311C/YJL071W/YOL140W/YCL030C/YAL044C/YOR202W/YBR145W/YOR303W/YIL116W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YKL211C/YOR184W/YER055C/YDR354W/YGR155W/YGL125W/YLR058C/YER052C/YMR095C/YJR109C/YHR112C/YMR189W/YIR034C/YER069W/YMR062C/YOL058W/YDR019C/YJL088W/YMR096W/YIR017C/YLR180W/YAL012W/YOL064C/YJL060W/YDR502C/YHR018C/YGL184C/YDR253C/YIL074C/YER091C/YNL277W/YLR134W/YLR303W
carboxylic acid biosynthetic process	carboxylic acid biosynthetic process	181	-0.675767345431105	-2.64794343658341	1.6320974898527e-20	1.45093466847905e-17	1.31369531288494e-17	838	tags=52%, list=14%, signal=47%	YOR241W/YBR176W/YJR016C/YMR042W/YIL145C/YMR009W/YIL094C/YHR025W/YLR451W/YPR118W/YOR221C/YLR027C/YBR166C/YBL098W/YOR108W/YDR034C/YHR067W/YGL148W/YGL154C/YNL256W/YLL058W/YDR127W/YJL196C/YNL316C/YIL020C/YCL009C/YJL097W/YNR050C/YOR323C/YJR148W/YGR124W/YLR089C/YER090W/YBR177C/YPL095C/YER061C/YMR020W/YDR035W/YKL106W/YER086W/YHR063C/YGL202W/YBR248C/YER073W/YFR025C/YJR139C/YGL026C/YDL131W/YJR130C/YHR208W/YDL182W/YDR158W/YJL071W/YOL140W/YCL030C/YGR267C/YOR202W/YOR303W/YIL116W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YKL211C/YEL071W/YOR184W/YER055C/YDR354W/YGR155W/YGL125W/YLR058C/YER052C/YJR109C/YIR034C/YER069W/YMR062C/YOL058W/YJL088W/YLR180W/YAL012W/YOL064C/YJL060W/YDR502C/YHR018C/YGL184C/YIL074C/YER091C/YNL277W/YPR167C/YFR030W/YJR137C/YKL001C/YJR010W/YLR303W
organic acid biosynthetic process	organic acid biosynthetic process	181	-0.675767345431105	-2.64794343658341	1.6320974898527e-20	1.45093466847905e-17	1.31369531288494e-17	838	tags=52%, list=14%, signal=47%	YOR241W/YBR176W/YJR016C/YMR042W/YIL145C/YMR009W/YIL094C/YHR025W/YLR451W/YPR118W/YOR221C/YLR027C/YBR166C/YBL098W/YOR108W/YDR034C/YHR067W/YGL148W/YGL154C/YNL256W/YLL058W/YDR127W/YJL196C/YNL316C/YIL020C/YCL009C/YJL097W/YNR050C/YOR323C/YJR148W/YGR124W/YLR089C/YER090W/YBR177C/YPL095C/YER061C/YMR020W/YDR035W/YKL106W/YER086W/YHR063C/YGL202W/YBR248C/YER073W/YFR025C/YJR139C/YGL026C/YDL131W/YJR130C/YHR208W/YDL182W/YDR158W/YJL071W/YOL140W/YCL030C/YGR267C/YOR202W/YOR303W/YIL116W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YKL211C/YEL071W/YOR184W/YER055C/YDR354W/YGR155W/YGL125W/YLR058C/YER052C/YJR109C/YIR034C/YER069W/YMR062C/YOL058W/YJL088W/YLR180W/YAL012W/YOL064C/YJL060W/YDR502C/YHR018C/YGL184C/YIL074C/YER091C/YNL277W/YPR167C/YFR030W/YJR137C/YKL001C/YJR010W/YLR303W
alpha-amino acid metabolic process	alpha-amino acid metabolic process	159	-0.686794436238663	-2.6620662728683	3.32646750128236e-19	2.21792220648002e-16	2.00813590735309e-16	777	tags=52%, list=13%, signal=46%	YMR009W/YIL094C/YML099C/YHR025W/YLR451W/YPR118W/YMR303C/YLR027C/YBR166C/YBL098W/YOR108W/YDR034C/YGL154C/YLL058W/YNL316C/YIL020C/YCL009C/YNR050C/YOR323C/YJR148W/YGR124W/YDL080C/YLR089C/YER090W/YFR055W/YKL106W/YCL064C/YER086W/YGL202W/YBR248C/YFR025C/YJR139C/YGL026C/YDL131W/YJR130C/YHR208W/YDL182W/YDR158W/YJL071W/YOL140W/YCL030C/YAL044C/YOR202W/YBR145W/YOR303W/YIL116W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YKL211C/YOR184W/YER055C/YDR354W/YGR155W/YGL125W/YLR058C/YER052C/YMR095C/YJR109C/YHR112C/YMR189W/YIR034C/YER069W/YMR062C/YOL058W/YDR019C/YJL088W/YMR096W/YLR180W/YAL012W/YOL064C/YJL060W/YDR502C/YHR018C/YGL184C/YIL074C/YER091C/YNL277W/YLR134W/YLR303W
L-amino acid metabolic process	L-amino acid metabolic process	147	-0.690532989975748	-2.64298275815018	2.9537820792672e-18	1.1253909722008e-15	1.01894377290811e-15	838	tags=55%, list=14%, signal=49%	YOR241W/YJR016C/YMR042W/YMR009W/YIL094C/YML099C/YHR025W/YLR451W/YPR118W/YMR303C/YLR027C/YBR166C/YBL098W/YOR108W/YDR034C/YGL154C/YLL058W/YNL316C/YIL020C/YCL009C/YNR050C/YOR323C/YJR148W/YGR124W/YLR089C/YER090W/YFR055W/YKL106W/YCL064C/YER086W/YGL202W/YBR248C/YFR025C/YJR139C/YDL131W/YJR130C/YHR208W/YDL182W/YDR158W/YJL071W/YOL140W/YCL030C/YAL044C/YOR202W/YBR145W/YOR303W/YIL116W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YKL211C/YOR184W/YER055C/YGR155W/YGL125W/YLR058C/YER052C/YMR095C/YJR109C/YHR112C/YMR189W/YIR034C/YER069W/YMR062C/YOL058W/YDR019C/YJL088W/YMR096W/YLR180W/YAL012W/YOL064C/YDR502C/YHR018C/YGL184C/YIL074C/YER091C/YNL277W/YLR134W/YLR303W
proteinogenic amino acid metabolic process	proteinogenic amino acid metabolic process	147	-0.690532989975748	-2.64298275815018	2.9537820792672e-18	1.1253909722008e-15	1.01894377290811e-15	838	tags=55%, list=14%, signal=49%	YOR241W/YJR016C/YMR042W/YMR009W/YIL094C/YML099C/YHR025W/YLR451W/YPR118W/YMR303C/YLR027C/YBR166C/YBL098W/YOR108W/YDR034C/YGL154C/YLL058W/YNL316C/YIL020C/YCL009C/YNR050C/YOR323C/YJR148W/YGR124W/YLR089C/YER090W/YFR055W/YKL106W/YCL064C/YER086W/YGL202W/YBR248C/YFR025C/YJR139C/YDL131W/YJR130C/YHR208W/YDL182W/YDR158W/YJL071W/YOL140W/YCL030C/YAL044C/YOR202W/YBR145W/YOR303W/YIL116W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YKL211C/YOR184W/YER055C/YGR155W/YGL125W/YLR058C/YER052C/YMR095C/YJR109C/YHR112C/YMR189W/YIR034C/YER069W/YMR062C/YOL058W/YDR019C/YJL088W/YMR096W/YLR180W/YAL012W/YOL064C/YDR502C/YHR018C/YGL184C/YIL074C/YER091C/YNL277W/YLR134W/YLR303W
small molecule biosynthetic process	small molecule biosynthetic process	343	-0.549268884822442	-2.32064712421682	2.87599650798549e-18	1.1253909722008e-15	1.01894377290811e-15	825	tags=36%, list=14%, signal=33%	YBR176W/YJR016C/YMR042W/YML126C/YIL145C/YJR009C/YMR009W/YIL094C/YDL244W/YHR025W/YLR451W/YPR118W/YPL252C/YBR035C/YOR221C/YLR027C/YNR043W/YBR166C/YBL098W/YMR135C/YOR108W/YDR034C/YHR067W/YGL148W/YGL154C/YNL256W/YLL058W/YDR127W/YJL196C/YNL316C/YIL020C/YCL009C/YJR156C/YJL097W/YHR174W/YNR050C/YOR323C/YJR148W/YDR487C/YGR124W/YDL080C/YMR134W/YGL012W/YJL052W/YLR089C/YER090W/YBR177C/YPL095C/YER061C/YNL220W/YMR220W/YMR020W/YDR035W/YKL106W/YER086W/YHR063C/YGL202W/YBR248C/YER073W/YOR143C/YFR025C/YJR139C/YGL026C/YDL131W/YJR130C/YHR208W/YDL182W/YDR158W/YEL029C/YJL071W/YOL140W/YCL030C/YOL143C/YGR267C/YOR202W/YPL258C/YPL214C/YOR303W/YIL116W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YKL211C/YEL071W/YOR184W/YER055C/YJL089W/YBR256C/YDR354W/YGR155W/YGL125W/YOR047C/YLR058C/YER052C/YMR095C/YJR109C/YIR034C/YER069W/YMR062C/YOL055C/YBR240C/YOL058W/YJL088W/YMR096W/YLR180W/YAL012W/YOL064C/YJL060W/YDR502C/YHR018C/YGL184C/YIL074C/YPR121W/YER091C/YNL277W/YPR167C/YFR030W/YJR137C/YKL001C/YJR010W/YLR134W/YLR303W/YGR144W
amino acid biosynthetic process	amino acid biosynthetic process	119	-0.716161293946784	-2.64748935636425	2.08033917973575e-17	6.93533074044406e-15	6.2793395767287e-15	838	tags=61%, list=14%, signal=54%	YOR241W/YJR016C/YMR042W/YMR009W/YIL094C/YHR025W/YLR451W/YPR118W/YLR027C/YBR166C/YOR108W/YDR034C/YGL154C/YLL058W/YNL316C/YIL020C/YCL009C/YNR050C/YOR323C/YJR148W/YGR124W/YLR089C/YER090W/YMR020W/YKL106W/YER086W/YGL202W/YBR248C/YFR025C/YJR139C/YGL026C/YDL131W/YHR208W/YDL182W/YDR158W/YNL311C/YJL071W/YOL140W/YCL030C/YOR202W/YOR303W/YIL116W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YKL211C/YOR184W/YER055C/YDR354W/YGR155W/YGL125W/YLR058C/YER052C/YJR109C/YIR034C/YER069W/YMR062C/YOL058W/YJL088W/YIR017C/YLR180W/YAL012W/YOL064C/YDR502C/YHR018C/YGL184C/YDR253C/YIL074C/YER091C/YNL277W/YLR303W
sulfur compound metabolic process	sulfur compound metabolic process	146	-0.677553830991719	-2.59351495921514	1.02010515939953e-16	3.02291162235394e-14	2.73698390135967e-14	481	tags=34%, list=8%, signal=32%	YJR156C/YOL164W/YJR148W/YGL059W/YDL080C/YFR055W/YMR220W/YPL273W/YMR020W/YHR063C/YGL202W/YOR143C/YJR139C/YJR130C/YHR208W/YDR158W/YPL258C/YPL214C/YNL191W/YLL062C/YGR154C/YGR155W/YJL101C/YGL125W/YER052C/YHR112C/YOL055C/YBR240C/YIR017C/YLR180W/YAL012W/YOL064C/YDR502C/YGL184C/YDR253C/YCR020C/YBR213W/YBR092C/YPR121W/YKR069W/YER091C/YNL277W/YPR167C/YFR030W/YJR137C/YKL001C/YJR010W/YLR303W/YGR144W
organic acid metabolic process	organic acid metabolic process	354	-0.528316380221018	-2.23431955819952	5.52887140723146e-16	1.47455000430863e-13	1.33507694823042e-13	788	tags=36%, list=13%, signal=33%	YIL145C/YJR009C/YMR009W/YIL094C/YML099C/YNL168C/YHR025W/YOR025W/YLR451W/YPR118W/YMR303C/YDL127W/YPR128C/YOR221C/YLR027C/YBR166C/YBL098W/YHR201C/YOR108W/YNR013C/YML076C/YDR034C/YHR067W/YGL148W/YOR317W/YGL154C/YNL217W/YIR031C/YNL256W/YLL058W/YDR127W/YJL196C/YNL316C/YIL020C/YCL009C/YJL097W/YHR174W/YNR050C/YOR323C/YOL164W/YJR148W/YGL059W/YJL200C/YGR124W/YDL080C/YCR005C/YJL052W/YLR089C/YER090W/YKR080W/YBR177C/YPL095C/YFR055W/YER061C/YPL273W/YMR020W/YDR035W/YKL106W/YCL064C/YER086W/YHR063C/YGL202W/YBR248C/YER073W/YFR025C/YJR139C/YGL026C/YDL131W/YJR130C/YHR208W/YDL182W/YDR158W/YJL071W/YOR388C/YOL140W/YCL030C/YAL044C/YGR267C/YOR202W/YBR145W/YOR303W/YIL116W/YGR204W/YPR145W/YDL066W/YOR130C/YNL104C/YGL009C/YML123C/YLL062C/YKL211C/YEL071W/YOR184W/YER055C/YDR354W/YGR155W/YGL125W/YLR058C/YER052C/YMR095C/YJR109C/YHR112C/YMR189W/YIR034C/YER069W/YMR062C/YOL058W/YDR019C/YJL088W/YMR096W/YLR180W/YAL012W/YOL064C/YJL060W/YDR502C/YHR018C/YGL184C/YIL074C/YER091C/YNL277W/YPR167C/YFR030W/YJR137C/YKL001C/YJR010W/YLR134W/YLR303W
