category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	comparison
Metabolism	Energy metabolism	sce00190	Oxidative phosphorylation - Saccharomyces cerevisiae (budding yeast)	44/250	71/2309	0.619718309859155	5.72371830985915	14.0845461740161	2.08981607040339e-26	1.75544549913885e-24	1.07790513105017e-24	YKL148C/YGL187C/YLL041C/YBR039W/YJR121W/YHR001W-A/YMR118C/YBL099W/YBL045C/YDR178W/YDR529C/YEL024W/YJL166W/YGL191W/YKL141W/YMR256C/YFR033C/YDL004W/YPL036W/YNL052W/YML081C-A/YDR298C/YDR377W/YPR191W/YML120C/YPL271W/YLR038C/YKL016C/YLR395C/YHR051W/YLR295C/YPL078C/YOL077W-A/YDL085W/YOR065W/YDR322C-A/YGR183C/YPR020W/YMR145C/YEL039C/YDL067C/Q0105/YJR048W/Q0120	44	primary_all
Metabolism	Global and overview maps	sce01110	Biosynthesis of secondary metabolites - Saccharomyces cerevisiae (budding yeast)	96/250	366/2309	0.262295081967213	2.42255737704918	10.3355517970114	1.66549096165591e-20	6.99506203895483e-19	4.29521353269156e-19	YJR010W/YLR134W/YFR053C/YKR097W/YHR033W/YNL277W/YER091C/YKR069W/YIL074C/YGL184C/YKL148C/YHR018C/YAL012W/YLR180W/YJL088W/YDR019C/YOL058W/YMR062C/YER069W/YIR034C/YMR189W/YER052C/YLL041C/YBR213W/YOR184W/YKL211C/YIL155C/YMR118C/YDR178W/YER055C/YGR155W/YLR058C/YKL085W/YNL104C/YKL141W/YGR256W/YGL009C/YLR303W/YJR109C/YDR354W/YHL032C/YOR303W/YCL040W/YDR516C/YGR088W/YPR184W/YDR158W/YBR256C/YBR117C/YGR244C/YOL140W/YDR502C/YMR110C/YGR087C/YPL061W/YHR208W/YDL131W/YGR043C/YIL116W/YGL026C/YDR148C/YPR145W/YDL066W/YCL030C/YIL125W/YJL071W/YGL202W/YAL054C/YOL143C/YER037W/YFR025C/YBR248C/YJR130C/YLL062C/YAL044C/YBR145W/YIL160C/YDR399W/YKL127W/YEL011W/YMR105C/YER073W/YHR063C/YJR139C/YDL182W/YMR120C/YKL067W/YOR374W/YIL162W/YOR202W/YGR157W/YNL117W/YFL053W/YMR101C/YHR216W/YMR015C	96	primary_all
Metabolism	Global and overview maps	sce01230	Biosynthesis of amino acids - Saccharomyces cerevisiae (budding yeast)	43/250	122/2309	0.352459016393443	3.25531147540984	8.91706200983905	9.83268122358584e-14	2.75315074260404e-12	1.69053115773932e-12	YHR033W/YNL277W/YER091C/YIL074C/YGL184C/YHR018C/YAL012W/YLR180W/YJL088W/YOL058W/YMR062C/YER069W/YIR034C/YER052C/YOR184W/YKL211C/YER055C/YGR155W/YLR058C/YNL104C/YGL009C/YLR303W/YDR354W/YDR158W/YBR117C/YOL140W/YDR502C/YHR208W/YDL131W/YGR043C/YIL116W/YGL026C/YPR145W/YDL066W/YCL030C/YJL071W/YGL202W/YFR025C/YBR248C/YJR130C/YJR139C/YDL182W/YOR202W	43	primary_all
Metabolism	Amino acid metabolism	sce00270	Cysteine and methionine metabolism - Saccharomyces cerevisiae (budding yeast)	19/250	44/2309	0.431818181818182	3.98827272727273	6.97223793657677	2.73383801837322e-08	5.74105983858376e-07	3.52521218158652e-07	YNL277W/YER091C/YIL074C/YGL184C/YAL012W/YLR180W/YER052C/YOR184W/YGR155W/YKL085W/YLR303W/YDR158W/YDR502C/YJL101C/YHR208W/YGL202W/YJR130C/YLL062C/YJR139C	19	primary_all
Metabolism	Amino acid metabolism	sce00340	Histidine metabolism - Saccharomyces cerevisiae (budding yeast)	10/250	14/2309	0.714285714285714	6.59714285714286	7.31810771923245	1.26416034619888e-07	2.12378938161411e-06	1.30408119923674e-06	YER055C/YMR110C/YPL061W/YIL116W/YCL030C/YFR025C/YBR248C/YER073W/YOR374W/YOR202W	10	primary_all
Metabolism	Metabolism of cofactors and vitamins	sce00670	One carbon pool by folate - Saccharomyces cerevisiae (budding yeast)	12/250	24/2309	0.5	4.618	6.20712961768165	1.65605316754335e-06	2.31847443456069e-05	1.42362465280043e-05	YAL012W/YLR180W/YDR019C/YMR189W/YGR155W/YLR058C/YGL125W/YGR204W/YDR502C/YLL062C/YAL044C/YMR120C	12	primary_all
Metabolism	Global and overview maps	sce01200	Carbon metabolism - Saccharomyces cerevisiae (budding yeast)	29/250	112/2309	0.258928571428571	2.39146428571429	5.25927378908955	3.21377600053852e-06	3.85653120064623e-05	2.36804547408102e-05	YFR053C/YKR097W/YIL074C/YKL148C/YDR019C/YMR189W/YLL041C/YOR184W/YMR118C/YDR178W/YLR058C/YKL085W/YKL141W/YGR256W/YLR303W/YCL040W/YDR516C/YGR088W/YBR117C/YGR244C/YGR043C/YDR148C/YDL066W/YIL125W/YAL054C/YAL044C/YNL117W/YFL053W/YOR388C	29	primary_all
Metabolism	Energy metabolism	sce00920	Sulfur metabolism - Saccharomyces cerevisiae (budding yeast)	9/250	15/2309	0.6	5.5416	6.14776895103994	4.96509278626534e-06	5.21334742557861e-05	3.20117824377634e-05	YJR010W/YKL001C/YJR137C/YFR030W/YPR167C/YNL277W/YOL064C/YLR303W/YJR130C	9	primary_all
Metabolism	Global and overview maps	sce01210	2-Oxocarboxylic acid metabolism - Saccharomyces cerevisiae (budding yeast)	15/250	41/2309	0.365853658536585	3.3790243902439	5.35462462678652	1.03403636123451e-05	9.65100603818873e-05	5.9260563392387e-05	YMR062C/YER069W/YER052C/YNL104C/YGL009C/YDR158W/YOL140W/YHR208W/YDL131W/YDR148C/YDL066W/YIL125W/YJL071W/YGL202W/YDL182W	15	primary_all
Metabolism	Amino acid metabolism	sce00220	Arginine biosynthesis - Saccharomyces cerevisiae (budding yeast)	10/250	20/2309	0.5	4.618	5.66135511406554	1.28548272395929e-05	0.000100360225764416	6.1624700030782e-05	YHR018C/YJL088W/YOL058W/YMR062C/YER069W/YAL062W/YJR109C/YOR303W/YOL140W/YJL071W	10	primary_all
