hypothesis	n_genes	mean_log2FC	median_log2FC	frac_up	wilcoxon_p	n_deg_in_set	fisher_p	verdict
H0: global transcriptome separates by carbon source	6049	NA	NA	NA	NA	NA	NA	replicated
H7: transgene mRNA is higher on cellobiose (ratio-based, pre-registered)	2	NA	NA	NA	NA	2	NA	replicated
H1: TCA cycle (GO:0006099)	28	0.859	0.901	0.821	0.000194	11	8.11e-05	replicated
H1: electron transport chain (GO:0022900)	40	1.547	1.928	0.85	1.81e-08	29	3.88e-20	replicated
H1: oxidative phosphorylation (GO:0006119)	37	1.79	1.977	0.919	4.8e-10	29	7.45e-22	replicated
H1: ATP synthesis coupled proton transport	16	1.793	1.767	1	3.05e-05	15	2.94e-14	replicated
H1: respiratory chain complex (GO:0098803)	45	1.913	1.974	0.978	1.14e-13	38	1.22e-30	replicated
H2: cellular amino acid biosynthetic process	119	-0.818	-0.681	0.261	2.46e-11	50	1.58e-17	replicated
H2: methionine biosynthetic process	26	-1.334	-0.894	0.192	1.91e-05	13	6.54e-07	replicated
H2: cysteine biosynthetic process	5	-2.175	-1.769	0	0.0625	3	0.01	replicated
H2: arginine biosynthetic process	13	-1.485	-1.471	0.077	0.00122	10	3.58e-08	replicated
H2: histidine biosynthetic process	8	-1.063	-1.194	0.125	0.0156	6	3.23e-05	replicated
H2: thiamine biosynthetic process	16	-1.219	-0.769	0.188	0.00269	7	0.000764	replicated
H3: PKA pathway	10	0.448	0.575	0.9	0.00391	0	0.613	replicated
H3: Snf3-Rgt2-Rgt1	5	0.047	0.267	0.6	1	2	0.0906	not_replicated
H3: Snf1-Mig1	5	-0.054	0.068	0.6	0.812	1	0.43	not_replicated
H4: hexose transporters	11	-0.138	0.024	0.545	0.966	6	0.000413	replicated
H5: SUT1 + ERG sterol genes	21	0.058	-0.056	0.429	0.785	2	1	not_replicated
H5: DAN/TIR/PAU family	26	0.58	0.299	0.654	0.0334	12	6.01e-06	replicated
H6: storage carbon & gluconeogenesis	8	1.12	0.776	0.875	0.0234	2	0.207	replicated
H9: ribosomal protein genes (growth-rate proxy)	132	0.337	0.344	0.939	1.36e-21	1	4.58e-07	replicated
H8: YGL162W (engineering candidate from H3/H5)	1	2.144	2.144	NA	2.83e-272	NA	NA	replicated (differentially expressed)
H8: YKL109W (engineering candidate from H3/H5)	1	2.63	2.63	NA	7.07e-265	NA	NA	replicated (differentially expressed)
H8: YKR034W (engineering candidate from H3/H5)	1	1.217	1.217	NA	5.53e-52	NA	NA	replicated (differentially expressed)
