hypothesis_id	n_subtests	n_subtests_replicated	n_subtests_not_replicated	n_subtests_contradicted	n_subtests_not_assessable	hypothesis_verdict	mean_log2FC_range
H0	1	1	0	0	0	replicated	NA
H1	5	5	0	0	0	replicated	0.86 .. 1.91
H2	6	6	0	0	0	replicated	-2.17 .. -0.82
H3	3	1	2	0	0	replicated (partial activation, as originally reported)	-0.05 .. 0.45
H4	1	1	0	0	0	replicated	-0.14 .. -0.14
H5	2	1	1	0	0	replicated	0.06 .. 0.58
H6	1	1	0	0	0	replicated	1.12 .. 1.12
H7	1	1	0	0	0	replicated	NA
H8	3	3	0	0	0	replicated	1.22 .. 2.63
H9	1	1	0	0	0	replicated	0.34 .. 0.34
