sample	seqname	reads	note
SRR1166442_JCYL001B_glucose	NC_001133.9	17102	
SRR1166442_JCYL001B_glucose	NC_001134.8	79614	
SRR1166442_JCYL001B_glucose	NC_001135.5	29039	
SRR1166442_JCYL001B_glucose	NC_001136.10	117538	
SRR1166442_JCYL001B_glucose	NC_001137.3	54862	
SRR1166442_JCYL001B_glucose	NC_001138.5	16164	
SRR1166442_JCYL001B_glucose	NC_001139.9	125958	
SRR1166442_JCYL001B_glucose	NC_001140.6	59554	
SRR1166442_JCYL001B_glucose	NC_001141.2	26588	
SRR1166442_JCYL001B_glucose	NC_001142.9	76307	
SRR1166442_JCYL001B_glucose	NC_001143.9	54065	
SRR1166442_JCYL001B_glucose	NC_001144.5	109553	
SRR1166442_JCYL001B_glucose	NC_001145.3	59535	
SRR1166442_JCYL001B_glucose	NC_001146.8	50981	
SRR1166442_JCYL001B_glucose	NC_001147.6	104802	
SRR1166442_JCYL001B_glucose	NC_001148.4	84064	
SRR1166442_JCYL001B_glucose	NC_001224.1	8	
SRR1166442_JCYL001B_glucose	cdt-1EGFP	2118	
SRR1166442_JCYL001B_glucose	gh1-1	1318	
SRR1166443_JCYL002B_glucose	NC_001133.9	17358	
SRR1166443_JCYL002B_glucose	NC_001134.8	80789	
SRR1166443_JCYL002B_glucose	NC_001135.5	28444	
SRR1166443_JCYL002B_glucose	NC_001136.10	119290	
SRR1166443_JCYL002B_glucose	NC_001137.3	56441	
SRR1166443_JCYL002B_glucose	NC_001138.5	16402	
SRR1166443_JCYL002B_glucose	NC_001139.9	127990	
SRR1166443_JCYL002B_glucose	NC_001140.6	60606	
SRR1166443_JCYL002B_glucose	NC_001141.2	27446	
SRR1166443_JCYL002B_glucose	NC_001142.9	76101	
SRR1166443_JCYL002B_glucose	NC_001143.9	54053	
SRR1166443_JCYL002B_glucose	NC_001144.5	111926	
SRR1166443_JCYL002B_glucose	NC_001145.3	60889	
SRR1166443_JCYL002B_glucose	NC_001146.8	52003	
SRR1166443_JCYL002B_glucose	NC_001147.6	106877	
SRR1166443_JCYL002B_glucose	NC_001148.4	86386	
