sample	candidate	reads_best_NM	reads_best_NM0	all_hits	hits_NM0
SRR1166442_JCYL001B_glucose	CTRL_native_2micron	4232	3247	5154	3780
SRR1166442_JCYL001B_glucose	CTRL_pRS426_backbone	9719	7081	11399	8165
SRR1166442_JCYL001B_glucose	cdt-1_native_CDS	1548	1166	1548	1166
SRR1166442_JCYL001B_glucose	gh1-1_native_CDS	1326	992	1341	1006
SRR1166442_JCYL001B_glucose	gh1-1_native_His6	24	22	1351	1012
SRR1166442_JCYL001B_glucose	gh1-1a_FigureS8	1	1	15	4
SRR1166442_JCYL001B_glucose	tag_eGFP_U55762	580	286	584	286
SRR1166442_JCYL001B_glucose	tag_sfGFP_JQ341914	4	4	55	21
SRR1166442_JCYL001B_glucose	tag_sfGFP_PX636966	0	0	39	0
SRR1166443_JCYL002B_glucose	CTRL_native_2micron	4075	3637	5012	4268
SRR1166443_JCYL002B_glucose	CTRL_pRS426_backbone	9731	8214	11343	9430
SRR1166443_JCYL002B_glucose	cdt-1_native_CDS	1509	1288	1511	1289
SRR1166443_JCYL002B_glucose	gh1-1_native_CDS	1206	1048	1224	1064
SRR1166443_JCYL002B_glucose	gh1-1_native_His6	29	27	1235	1072
SRR1166443_JCYL002B_glucose	gh1-1a_FigureS8	0	0	14	5
SRR1166443_JCYL002B_glucose	tag_eGFP_U55762	602	332	602	332
SRR1166443_JCYL002B_glucose	tag_sfGFP_JQ341914	0	0	59	15
SRR1166443_JCYL002B_glucose	tag_sfGFP_PX636966	0	0	24	0
SRR1166444_JCYL003B_glucose	CTRL_native_2micron	3429	3110	4385	3773
SRR1166444_JCYL003B_glucose	CTRL_pRS426_backbone	11203	9689	12952	11059
SRR1166444_JCYL003B_glucose	cdt-1_native_CDS	1121	999	1121	999
SRR1166444_JCYL003B_glucose	gh1-1_native_CDS	1083	940	1098	955
SRR1166444_JCYL003B_glucose	gh1-1_native_His6	19	19	1102	958
SRR1166444_JCYL003B_glucose	gh1-1a_FigureS8	0	0	6	1
SRR1166444_JCYL003B_glucose	tag_eGFP_U55762	451	265	452	266
SRR1166444_JCYL003B_glucose	tag_sfGFP_JQ341914	0	0	30	9
SRR1166444_JCYL003B_glucose	tag_sfGFP_PX636966	0	0	35	0
SRR1166445_JCYL001D_cellobiose	CTRL_native_2micron	3606	2771	4620	3272
SRR1166445_JCYL001D_cellobiose	CTRL_pRS426_backbone	18755	13746	21131	15262
SRR1166445_JCYL001D_cellobiose	cdt-1_native_CDS	2557	1960	2558	1961
SRR1166445_JCYL001D_cellobiose	gh1-1_native_CDS	2579	1936	2613	1967
SRR1166445_JCYL001D_cellobiose	gh1-1_native_His6	51	47	2632	1984
SRR1166445_JCYL001D_cellobiose	gh1-1a_FigureS8	1	1	24	8
SRR1166445_JCYL001D_cellobiose	tag_eGFP_U55762	1075	540	1076	540
SRR1166445_JCYL001D_cellobiose	tag_sfGFP_JQ341914	1	0	76	23
SRR1166445_JCYL001D_cellobiose	tag_sfGFP_PX636966	0	0	51	0
SRR1166446_JCYL002D_cellobiose	CTRL_native_2micron	4280	3787	5274	4381
SRR1166446_JCYL002D_cellobiose	CTRL_pRS426_backbone	13861	11742	16048	13392
SRR1166446_JCYL002D_cellobiose	cdt-1_native_CDS	2923	2573	2923	2573
SRR1166446_JCYL002D_cellobiose	gh1-1_native_CDS	2984	2595	3044	2648
SRR1166446_JCYL002D_cellobiose	gh1-1_native_His6	84	75	3069	2669
SRR1166446_JCYL002D_cellobiose	gh1-1a_FigureS8	0	0	38	4
SRR1166446_JCYL002D_cellobiose	tag_eGFP_U55762	1175	705	1178	706
SRR1166446_JCYL002D_cellobiose	tag_sfGFP_JQ341914	2	1	104	30
SRR1166446_JCYL002D_cellobiose	tag_sfGFP_PX636966	0	0	69	0
SRR1166447_JCYL003D_cellobiose	CTRL_native_2micron	3622	3236	4635	3832
SRR1166447_JCYL003D_cellobiose	CTRL_pRS426_backbone	18060	15551	20489	17392
SRR1166447_JCYL003D_cellobiose	cdt-1_native_CDS	2396	2132	2396	2132
SRR1166447_JCYL003D_cellobiose	gh1-1_native_CDS	2476	2229	2515	2263
SRR1166447_JCYL003D_cellobiose	gh1-1_native_His6	57	51	2533	2276
SRR1166447_JCYL003D_cellobiose	gh1-1a_FigureS8	0	0	23	5
SRR1166447_JCYL003D_cellobiose	tag_eGFP_U55762	1081	643	1082	644
SRR1166447_JCYL003D_cellobiose	tag_sfGFP_JQ341914	1	0	104	37
SRR1166447_JCYL003D_cellobiose	tag_sfGFP_PX636966	0	0	55	0
