gene_id	JCYL001B	JCYL002B	JCYL003B	JCYL001D	JCYL002D	JCYL003D
cdt-1EGFP	66711.672	74364.476	40344.381	190320.975	193612.819	134625.709
gene-Q0158	50.053	67.876	40.316	302.925	284.357	216.103
gh1-1	40398.163	44390.232	28289.024	136247.544	133069.188	97995.674
NR_132153.1	3135.163	3332.103	2652.743	2338.537	2307.834	2045.205
NR_132166.1	51.206	61.896	27.154	276.206	272.282	206.126
NR_132171.1	296.837	368.517	262.604	861.111	751.708	634.148
NR_132176.1	735.341	0	572.578	492.639	469.47	362.561
NR_132177.1	994.392	1121.237	842.958	835.915	856.709	648.254
NR_132251.1	122.525	142.844	108.514	176.012	166.511	113.698
NR_172474.1	288.519	301.509	225.172	444.65	372.183	326.965
NR_172475.1	1151.835	1459.916	1298.628	1449.639	1266.567	979.654
NR_172476.1	88.867	100.897	55.949	261.711	225.648	120.77
NR_172477.1	564.314	704.937	542.171	374.055	302.836	301.96
NR_172478.1	312.418	327.789	293.937	390.426	281.803	319.286
Q0020	7.181	11.996	8.302	38.327	26.575	17.733
Q0045	1.118	1.072	2.254	22.226	6.8	7.641
Q0050	8.043	9.828	6.069	21.177	23.766	16.275
Q0055	8.015	5.912	4.05	34.364	29.874	27.591
Q0060	1.02	1.988	1.019	3.024	0.979	0
Q0065	54.872	1.325	100.713	2.802	1.329	0.706
Q0070	0	319.577	0.546	0.525	1082.255	0.527
Q0075	0	0	1.014	0	0	0
Q0080	0	0	0	0	0	0
Q0085	0	0.969	0.983	4.992	1.004	2.047
Q0105	17.194	27.534	12.863	116.044	138.251	68.323
Q0110	476.627	0.839	1.709	3.353	3.26	6.705
Q0115	0	0.512	473.151	1.043	0.519	1796.574
Q0120	15.52	11.186	10.314	49.62	56.319	52.696
Q0130	2.04	0	1.042	6.693	3.91	7.845
Q0140	0	1.01	0	0	0	0
Q0160	0	0.998	2.031	0	0.984	3.016
Q0250	3.981	1.94	0.999	5.04	6.967	5.085
Q0255	0	0	0	0	0.964	0
Q0275	5.868	7.888	1.014	8.816	4.023	4.087
Q0285	4.071	0	1.043	8.833	9.533	11.875
tA(UGC)Q	0	0	0	0	0	0
tC(GCA)Q	0	0	0	0	0	0
tD(GUC)Q	0	0	0	0	0	0
tE(UUC)Q	0	0	0	0	0	0
tF(GAA)Q	0	0	0	0	0	0
tG(UCC)Q	0	0	0	0	0	0
tH(GUG)Q	0	0	0	0	0	0.987
tI(GAU)Q	0	0	0	0	0	0
tK(UUU)Q	0	0	0	0	0	0
tL(UAA)Q	0	0	0	0	0	0
tM(CAU)Q1	0	0	0	0	0	0
tM(CAU)Q2	0	0	0	0	0	0
tN(GUU)Q	0	0	0	0	0	0
tP(UGG)Q	0	0	0	0	0	0
tQ(UUG)Q	0	0	0	0	0	0
tR(ACG)Q2	0	0	0	0	0	0
tR(UCU)Q1	0	0	0	0	0	0
tS(GCU)Q1	0	0	0	0	0	0
tS(UGA)Q2	0	0	0	0	0	0
tT(UAG)Q2	0	0	0	0	0	0
tT(UGU)Q1	0	0	0	0	0	0
tV(UAC)Q	0	0	0	0	0	0
tW(UCA)Q	0	0	0	0	0	0
tY(GUA)Q	0	0	0	0	0	0
YAL001C	4054.479	4404.074	3524.953	4431.915	3639.801	3501.09
YAL002W	3108.53	3552.81	2640.347	3654.741	3183.124	2914.463
YAL003W	17647.713	20968.985	16163.645	34176.226	28260.743	27022.426
YAL005C	23664.135	25418.986	18594.797	71091.742	69395.368	52527.636
YAL007C	2690.837	3209.005	2427.256	2798.178	2133.115	2174.099
YAL008W	2774.622	3091.127	2396.585	3539.493	3398.85	2697.853
YAL009W	1531.459	1665.653	1291.331	1507.017	1267.408	1159.571
YAL010C	1584.285	1725.546	1343.314	1254.14	1256.695	1046.394
YAL011W	1603.421	1841.249	1355.039	2291.599	1819.877	1701.417
YAL012W	28850.836	33217.237	22354.209	4592.552	4218.035	3474.919
YAL013W	3223.808	3334.746	2548.063	4006.117	3262.2	2880.715
YAL014C	2605.914	3054.707	2454.336	2630.143	2036.265	1974.129
YAL015C	1936.047	2181.149	1724.99	1700.575	1394.543	1299.957
YAL016W	6882.457	7691.96	5823.982	7956.2	7070.169	6038.132
YAL017W	3487.405	3826.928	3149.997	4323.031	3663.281	3324.059
YAL018C	427.482	408.319	281.484	669.576	870.895	529.072
YAL019W	2959.014	3455.649	2542.149	3580.249	3046.109	2921.929
YAL020C	1424.55	1485.191	1102.499	2315.464	1800.624	1644.849
YAL021C	3526.535	4009.734	3005.514	5801.057	5174.534	4551.292
YAL022C	2725.945	3095.278	2478.404	1819.676	1694.109	1423.064
YAL023C	9113.444	10646.493	8970.487	9741.631	7787.517	7939.223
YAL024C	983.37	1069.425	921.434	1178.908	1001.271	1066.98
YAL025C	2572.345	3190.709	2632.144	3918.417	3275.701	3225.973
YAL026C	3619.62	4383.193	3383.91	3487.006	3047.997	2797.827
YAL027W	666.043	715.671	552.998	847.282	714.748	730.259
YAL028W	1455.787	1656.329	1259.433	1561.987	1334.237	1144.404
YAL029C	3148.538	3555.034	2727.416	3008.828	2444.451	2470.319
YAL030W	2366.818	2612.374	2019.227	2648.382	2076.681	1856.579
YAL031C	3154.645	3476.998	2741.832	2810.705	2396.629	2162.858
YAL032C	1685.041	1908.515	1607.816	2633.419	2210.843	2027.219
YAL033W	690.437	735.756	642.212	890.992	705.859	600.463
YAL034C	1907.523	2318.518	1636.556	2801.261	2747.008	2260.914
YAL034W-A	679.178	745.818	546.754	846.763	700.191	643.659
YAL035W	10117.801	11882.397	8624.497	15785.884	12929.035	12187.408
YAL036C	2135.184	2669.867	2171.865	2906.46	2639.207	2527.675
YAL037C-A	12.086	13.123	12.151	10.836	10.794	7.896
YAL037W	749.781	835.831	678.819	582.438	525.198	447.361
YAL038W	186762.876	208428.285	176691.818	219390.479	201116.262	170699.034
YAL039C	2319.655	2621.39	2260.419	13436.703	10220.726	9590.485
YAL040C	1571.441	2051.518	1760.77	1680.446	1456.853	1437.747
YAL041W	3915.008	4527.013	3458.397	3520.027	3056.11	2830.591
YAL042W	8121.622	8902.537	6794.554	9653.026	8252.351	7280.344
YAL043C	3231.353	3892.944	3007.792	3347.423	2687.107	2538.866
YAL044C	19468.796	19717.801	15687.707	8762.638	6864.112	6264.002
YAL044W-A	1444.518	1615.902	1291.599	3016.097	2274.38	2280.856
YAL046C	965.618	1039.532	864.31	1634.87	1042.311	1205.939
YAL047C	1173.325	1304.954	1031.268	1238.856	1112.684	936.807
YAL048C	1491.473	1669.641	1319.263	1293.357	1235.672	1068.072
YAL049C	906.963	970.304	842.701	1378.257	1206.665	1067.202
YAL051W	2163.464	2577.06	1999.115	2317.671	2013.037	1814.05
YAL053W	4928.755	5799.645	4962.872	8251.198	6693.905	6939.585
YAL054C	1331.871	1394.65	1129.601	4714.235	3414.035	3430.808
YAL055W	1068.056	1117.698	829.515	1590.426	1235.128	1183.344
YAL056W	5095.705	5986.804	4462.346	6412.803	5514.23	5099.987
YAL058W	1539.48	1745.387	1456.021	1362.654	1120.008	1039.07
YAL059W	1115.805	1323.885	988.566	1454.858	1258.68	1181.626
YAL060W	5097.782	5350.45	4058.995	9402.03	7173.979	6857.34
YAL061W	2464.993	2499.225	2004.026	2801.549	2070.799	1974.714
