UniqueCount	AmbigCount
86923	0
51306	0
97	3574
2	80
3488	0
42	163
43	189
134	16
15	0
66	0
466	1590
7034	1
2620	0
5514	0
1309	0
1764	0
6098	0
1117	0
1404	0
5816	0
2513	0
965	0
1638	0
1279	0
1051	0
1627	0
20227	0
4030	0
10149	0
4412	0
2136	0
2922	0
217218	0
13	0
819	0
2781	0
11845	0
735	0
2324	0
725	0
1913	0
3406	0
2611	0
3470	0
1633	0
700	0
4039	358
95	358
3165	0
1047	0
10721	0
3251	0
4587	0
1762	0
3421	0
396	0
3773	0
7591	0
2254	0
3058	0
3909	0
34023	0
1829	0
1688	0
1638	0
3031	0
3150	0
0	0
15669	53649
21115	0
143	0
3562	0
4405	0
3381	0
6367	0
2349	0
2851	0
1176	0
76	276967
0	111060
0	17
4965	0
13391	0
1424	0
1465	0
208	217
622	0
0	0
0	19
2868	1
2217	1
410	0
519	1104
167	1363
10392	0
4	0
3437	0
426	1363
106	141
8	65
3	274
248	482
107	4395
264	43873
1	4547
0	25828
0	1383
0	17
2530	0
3462	0
3927	0
2471	0
3681	0
4382	0
2548	0
24	0
0	14702
345	119648
0	1
10397	0
7027	0
401	0
828	0
6846	0
31927	0
1707	0
8846	0
1740	0
1445	0
2317	0
8299	9348
1729	0
4140	0
2043	1
1655	0
1159	64
1499	0
3086	0
1692	0
22387	0
2433	0
898	0
2	0
8048	50080
8	0
793	0
697	0
1341	0
2055	0
2789	0
1151	0
8049	0
1004	0
4121	0
2200	0
1058	0
614	0
7631	0
2689	0
6577	0
1715	0
1759	0
2484	0
3212	0
4949	0
3227	0
978	0
8467	0
2182	0
5020	0
29	0
1312	0
3501	0
6698	0
4110	0
394	0
3694	0
2183	0
1771	0
5744	0
1771	0
1435	0
6821	0
3335	0
1234	0
2239	0
1102	0
4767	0
1068	0
29579	11757
1375	0
846	0
3947	0
2270	0
6021	0
1032	0
2769	0
1584	0
1416	0
8376	11
2752	0
4160	0
0	16
0	37
1921	0
353	0
4303	0
1288	0
1292	0
13	0
1653	0
8024	0
2432	0
3176	0
0	8412
239	263844
0	19
2229	0
17113	6008
17604	409
6285	0
3724	0
3154	0
3567	0
1561	0
1775	0
4512	0
4752	0
2767	0
19435	29107
24288	26208
56674	0
0	113241
271	371557
805	0
0	12
2649	0
3917	0
2722	0
4489	0
663	0
484	970
259	1814
0	844
1454	0
1524	0
4077	0
1554	0
14618	0
4685	0
43	0
3148	0
2331	0
1934	0
6468	63941
104	0
1669	0
5837	0
8650	0
32	0
3332	0
6992	0
2005	0
2773	0
6218	0
505	0
3009	0
2796	0
5184	0
2396	0
14	0
1166	0
3485	0
2472	0
9533	8859
4511	0
268	0
5212	0
4050	0
12628	0
3526	0
0	17
5836	0
0	7
320	0
3137	0
3112	0
3302	0
5036	0
1877	0
1820	0
1497	0
2063	0
1542	0
