gene_id	JCYL001B	JCYL002B	JCYL003B	JCYL001D	JCYL002D	JCYL003D
cdt-1EGFP	68352.779	75697.16	41357.462	194940.053	196797.625	138072.421
gene-Q0158	51.085	67.905	42.351	310.729	286.244	221.108
gh1-1	41365.84	45080.008	28995.807	139616.693	135150.899	100439.848
NR_132153.1	3237.893	3411.836	2733.272	2410.855	2350.625	2109.519
NR_132166.1	52.175	63.777	29.007	281.689	278.693	213.423
NR_132171.1	307.526	374.181	267.009	882.913	757.715	650.844
NR_132176.1	748.196	0	586.06	502.725	479.797	372.473
NR_132177.1	1009.972	1136.082	871.155	848.414	864.986	669.584
NR_132251.1	125.787	145.813	114.348	179.295	172.391	117.534
NR_172474.1	290.754	307.53	229.488	465.411	375.346	334.247
NR_172475.1	1202.848	1490.536	1341.854	1495.947	1289.466	1015.758
NR_172476.1	90.252	101.476	56.285	266.868	234.221	127.911
NR_172477.1	578.532	713.018	560.847	384.264	305.595	313.502
NR_172478.1	319.44	328.965	295.626	397.056	283.089	322.998
Q0020	8.212	13.994	8.327	39.275	27.529	17.751
Q0045	1.058	2.207	2.254	22.2	6.804	7.646
Q0050	9.053	9.824	6.066	23.213	23.737	16.273
Q0055	8.025	5.918	4.043	34.37	30.86	27.591
Q0060	1.012	1.982	1.015	3.021	0.978	0
Q0065	185.634	1.322	100.678	2.796	1.329	0.704
Q0070	0	306.501	0.544	0.537	1080.671	0.524
Q0075	0	0	1.003	0	0	0
Q0080	0	0	0	0	0	0
Q0085	0	0.972	0.983	4.983	1.005	2.048
Q0105	17.16	27.525	12.868	116.848	141.24	69.585
Q0110	477.196	0.833	1.706	3.357	3.261	6.715
Q0115	0	0.52	473.343	1.047	0.509	1885.05
Q0120	16.556	12.189	10.317	53.713	57.316	53.708
Q0130	2.039	0	1.042	7.648	3.909	8.829
Q0140	0	1.025	0	0	0	0
Q0160	0	0.998	2.035	0	0.973	3.017
Q0250	3.981	1.938	0.999	5.041	6.961	5.088
Q0255	0	0	0	0	0.979	0
Q0275	5.865	7.884	1.014	8.811	4.022	4.091
Q0285	4.068	0	1.023	8.811	9.529	12.881
tA(UGC)Q	0	0	0	0	0	0
tC(GCA)Q	0	0	0	0	0	0
tD(GUC)Q	0	0	0	0	0	0
tE(UUC)Q	0	0	0	0	0	0
tF(GAA)Q	0	0	0	0	0	0
tG(UCC)Q	0	0	0	0	0	0
tH(GUG)Q	0	0	0	0	0	0.987
tI(GAU)Q	0	0	0	0	0	0
tK(UUU)Q	0	0	0	0	0	0
tL(UAA)Q	0	0	0	0	0	0
tM(CAU)Q1	0	0	0	0	0	0
tM(CAU)Q2	0	0	0	0	0	0
tN(GUU)Q	0	0	0	0	0	0
tP(UGG)Q	0	0	0	0	0	0
tQ(UUG)Q	0	0	0	0	0	0
tR(ACG)Q2	0	0	0	0	0	0
tR(UCU)Q1	0	0	0	0	0	0
tS(GCU)Q1	0	0	0	0	0	0
tS(UGA)Q2	0	0	0	0	0	0
tT(UAG)Q2	0	0	0	0	0	0
tT(UGU)Q1	0	0	0	0	0	0
tV(UAC)Q	0	0	0	0	0	0
tW(UCA)Q	0	0	0	0	0	0
tY(GUA)Q	0	0	0	0	0	0
YAL001C	4181.272	4476.157	3603.845	4545.577	3688.993	3573.778
YAL002W	3188.516	3601.478	2697.275	3743.95	3229.125	2976.952
YAL003W	18038.072	21274.149	16530.044	34964.182	28650.447	27721.975
YAL005C	24244.218	25766.719	19059.095	72712.455	70557.771	53848.369
YAL007C	2771.503	3263.95	2499.501	2878.038	2160.12	2233.967
YAL008W	2840.177	3136.139	2453.61	3639.987	3446.483	2768.671
YAL009W	1561.281	1688.399	1322.15	1550.34	1288.734	1190.56
YAL010C	1625.582	1747.011	1374.416	1288.591	1272.939	1072.412
YAL011W	1643.784	1869.784	1379.997	2362.174	1844.067	1741.925
YAL012W	29531.609	33739.934	22933.715	4689.836	4304.54	3562.721
YAL013W	3285.625	3382.301	2605.067	4104.234	3297.847	2962.815
YAL014C	2668.527	3098.704	2503.671	2686.291	2071.929	2032.006
YAL015C	1984.527	2214.61	1757.269	1746.662	1412.751	1330.588
YAL016W	7025.835	7810.163	5973.498	8166.826	7174.906	6195.597
YAL017W	3567.156	3892.768	3214.675	4430.823	3721.503	3401.629
YAL018C	431.157	415.694	285.682	688.285	886.916	547.873
YAL019W	3029.164	3500.383	2605.599	3680.942	3089.601	2998.163
YAL020C	1458.238	1506.82	1134.004	2387.332	1835.422	1685.373
YAL021C	3628.762	4082.394	3090.394	5952.426	5255.142	4681.144
YAL022C	2796.067	3139.928	2530.132	1859.293	1717.338	1456.655
YAL023C	9349.439	10798.45	9201.311	9975.125	7907.321	8124.571
YAL024C	1010.088	1089.55	946.48	1214.904	1023.968	1092.664
YAL025C	2631.728	3242.304	2702.068	4010.371	3331.846	3304.408
YAL026C	3702.286	4444.484	3459.253	3569.379	3095.673	2859.952
YAL027W	680.424	719.716	568.426	868.643	725.244	744.002
YAL028W	1494.637	1683.193	1284.605	1599.066	1360.039	1174.935
YAL029C	3217.972	3603.831	2804.024	3100.518	2485.099	2527.523
YAL030W	2436.406	2643.368	2062.627	2701.545	2105.596	1905.45
YAL031C	3232.762	3537.751	2808.097	2870.765	2429.856	2215.566
YAL032C	1725.236	1932.595	1645.661	2693.175	2238.888	2076.638
YAL033W	704.328	753.002	654.053	910.111	717.329	611.855
YAL034C	1960.675	2357.132	1676.382	2881.877	2807.392	2317.324
YAL034W-A	699.268	752.798	560.708	863.934	707.66	651.21
YAL035W	10395.581	12064.63	8866.244	16205.284	13140.723	12510.038
YAL036C	2198.361	2730.622	2232.021	3006.739	2681.637	2577.957
YAL037C-A	13.093	13.123	14.177	11.821	10.794	8.882
YAL037W	767.225	853.27	693.998	599.859	531.116	461.967
YAL038W	191238.897	211804.474	181154.898	224678.274	204230.644	175015.022
YAL039C	2375.204	2665.735	2325.687	13811.823	10369.556	9833.999
YAL040C	1604.616	2079.808	1808.209	1727.755	1479.334	1458.691
YAL041W	4010.625	4597.479	3546.018	3606.687	3106.194	2888.893
YAL042W	8336.493	9035.044	6955.775	9907.845	8380.704	7463.94
YAL043C	3304.463	3945.331	3084.813	3425.939	2732.437	2604.871
