gene_id	JCYL001B	JCYL002B	JCYL003B	JCYL001D	JCYL002D	JCYL003D
cdt-1EGFP	26487.96	26288.62	28504.227	17625.826	16685.012	18084.796
gene-Q0158	876201.406	898425.038	870139.654	889798.792	910427.133	884368.221
gh1-1	16749.162	16507.644	17878.484	11389.51	10748.226	11617.773
NR_132153.1	2456.197	2509.877	2530.322	2463.524	2474.791	2483.686
NR_132166.1	387.914	393.122	394.968	337.374	336.933	340.993
NR_132171.1	1531.479	1501.611	1556.414	1210.568	1178.348	1203.314
NR_132176.1	1856	1856	1856	1856	1856	1856
NR_132177.1	1006.518	995.107	1005.792	1035.058	1016.134	1020.651
NR_132251.1	1728.254	1691.139	1722.649	1760.297	1662.001	1691.462
NR_172474.1	5792.11	5829.182	6158.458	4783.213	4650.98	4831.834
NR_172475.1	783.903	795.715	796.104	778.681	783.856	789.394
NR_172476.1	610.716	632.283	632.96	534.786	545.044	549.927
NR_172477.1	12803.344	12996.719	12905.932	12402.902	12341.615	12241.952
NR_172478.1	2459.747	2416.149	2381.907	2504.725	2420.57	2406.071
Q0020	485172.888	500002.94	482868.471	497310.017	512579.812	496690.008
Q0045	16041.897	16020.073	15763.2	15668.578	15341.929	15166.517
Q0050	156865.856	161644.12	158890.698	153387.144	155234.661	152983.1
Q0055	108368.671	111395.187	109998.847	105652.532	106405.552	105350.466
Q0060	159137.189	164211.166	161225.108	157575.602	160953.974	160605.178552766
Q0065	1622	157934.547	1622	150166.906	152253.394	150594.882
Q0070	38772.6003956842	1844	295611.225	294962.426	1844	295539.269
Q0075	396719.337	396719.337	396719.337	396719.337	396719.337	396719.337
Q0080	98	98	98	98	98	98
Q0085	40983.8899254044	42670.856	42222.59	40474.646	40095.492	39546.773
Q0105	6947.92	6991.655	6999.268	6812.742	6719.857	6727.714
Q0110	1223	202326.765	197049.615	197085.147	200606.482	196084.021
Q0115	39557.1949840549	356561.426	1505	342770.802	349877.699	1505
Q0120	242004.738	247937.589	244545.141	243347.024	247687.273	243348.466
Q0130	76.117	77.0775621817476	74.95	79.422	77.384	77.588
Q0140	747827.829999999	747827.83	747827.829999999	747827.829999999	747827.829999999	747827.829999999
Q0160	126627.595026555	128867.199	126340.117	126627.595026555	126986.973	124357.104
Q0250	19125.605	19678.867	19158.607	18467.88	18632.414	18339.332
Q0255	466956.699	466956.699	466956.699	466956.699	466956.699	466956.699
Q0275	5362.05	5330.17	5200.961	5235.937	5078.981	5029.058
Q0285	249053.634	251726.527486704	246534.248	252927.651	259201.642	251096.537
tA(UGC)Q	27	27	27	27	27	27
tC(GCA)Q	27	27	27	27	27	27
tD(GUC)Q	26	26	26	26	26	26
tE(UUC)Q	23	23	23	23	23	23
tF(GAA)Q	26	26	26	26	26	26
tG(UCC)Q	26	26	26	26	26	26
tH(GUG)Q	26	26	26	26	26	26
tI(GAU)Q	27	27	27	27	27	27
tK(UUU)Q	25	25	25	25	25	25
tL(UAA)Q	36	36	36	36	36	36
tM(CAU)Q1	27	27	27	27	27	27
tM(CAU)Q2	29	29	29	29	29	29
tN(GUU)Q	22	22	22	22	22	22
tP(UGG)Q	23	23	23	23	23	23
tQ(UUG)Q	27	27	27	27	27	27
tR(ACG)Q2	25	25	25	25	25	25
tR(UCU)Q1	24	24	24	24	24	24
tS(GCU)Q1	37	37	37	37	37	37
tS(UGA)Q2	41	41	41	41	41	41
tT(UAG)Q2	25	25	25	25	25	25
tT(UGU)Q1	27	27	27	27	27	27
tV(UAC)Q	27	27	27	27	27	27
tW(UCA)Q	25	25	25	25	25	25
tY(GUA)Q	35	35	35	35	35	35
YAL001C	5224.059	5352.541	5400.066	5254.271	5257.71	5318.52
YAL002W	6927.468	7151.059	7226.957	6917.281	7048.215	7123.051
YAL003W	232.653	231.264	233.219	223.167	221.275	223.481
YAL005C	1721.445	1699.185	1773.156	1283.461	1253.035	1304.237
YAL007C	230.104	231.009	230.984	236.869	235.388	234.412
YAL008W	434.246	436.946	436.256	450.533	446.036	444.574
YAL009W	627.438	634.782	642.822	644.136	643.078	644.387
YAL010C	1264.406	1294.697	1316.418	1320.267	1327.725	1342.932
YAL011W	1191.877	1231.515	1229.806	1221.689	1242.9	1250.977
YAL012W	627.942	625.323	626.127	584.562	579.359	585.393
YAL013W	4124.964	4428.446	4730.936	2954.116	3005.556	3210.553
YAL014C	242.226	243.686	241.061	239.798	240.881	239.18
YAL015C	507.686	512.612	514.893	468.83	471.259	473.051
YAL016W	954.208	957.668	959.712	970.306	962.71	963.181
YAL017W	2416.211	2433.933	2435.501	2471.024	2455.145	2461.503
YAL018C	454.918	450.076	456.448	471.434	461.507	463.949
YAL019W	2199.94	2230.337	2236.669	2237.127	2238.7	2247.928
YAL020C	6149.651	6430.199	6889.124	4159.78	4169.351	4416.819
YAL021C	5184.004	5173.03	5564.913	3666.65	3535.399	3753.458
YAL022C	1313.851	1328.015	1331.064	1180.559	1175.988	1185.744
YAL023C	797.086	802.418	802.655	775.338	778.076	780.605
YAL024C	2826.956	2850.418	2858.904	2930.645	2914.035	2923.909
YAL025C	261.637	266.157	265.046	265.228	268.957	267.781
YAL026C	1952.541	1954.628	1955.114	2022.668	2004.609	2000.828
YAL027W	405.347	408.439	405.245	422.286	420.807	419.858
YAL028W	676.587	670.32	674.19	678.372	670.168	671.458
YAL029C	2269.973	2298.497	2309.803	2366.902	2369.981	2381.187
YAL030W	123.371	127.177	125.602	125.142	127.693	127.314
YAL031C	866.224	864.902	867.635	886.865	880.205	882.04
YAL032C	392.029	395.733	393.12	386.686	390.035	388.999
YAL033W	240.678	246.052	246.884	247.511	251.361	251.665
YAL034C	686.016	680.12	681.221	668.472	656.889	660.17
YAL034W-A	361.96	366.799	367.375	371.044	373.053	371.999
YAL035W	1202.292	1220.882	1218.636	1204.975	1216.248	1216.422
YAL036C	523.684	523.714	521.793	473.869	472.384	472.958
YAL037C-A	44	44	44	44	44	44
YAL037W	319.811	319.966	323.781	326.633	324.537	326.132
YAL038W	648.562	649.918	663.124	577.127	577.052	590.817
YAL039C	1515.573	1557.987	1587.236	1201.91	1209.89	1234.926
YAL040C	1503.713	1525.933	1552.977	1371.98	1364.092	1392.261
YAL041W	1179.063	1171.78	1178.716	1215.987	1198.473	1202.24
YAL042W	2585.618	2696.874	2804.82	1952.728	1974.47	2046.209
YAL043C	1122.826	1120.732	1126.849	1020.393	1015.864	1028.076
YAL044C	226.847	232.659	232.034	216.365	219.81	220.324
YAL044W-A	99.562	99.819	98.321	97.289	97.195	97.059
YAL046C	102.337	104.091	102.76	99.682	101.485	101.581
YAL047C	1780.274	1788.979	1794.958	1840.418	1819.363	1824.913
YAL048C	751.886	754.221	757.576	769.765	766.831	769.174
YAL049C	278.373	279.009	279.509	277.897	276.385	276.285
YAL051W	2074.406	2069.013	2079.241	2149.497	2117.678	2121.228
YAL053W	1084.377	1096.978	1096.652	1070.85	1074.581	1078.328
YAL054C	834.609	836.385	832.949	810.738	811.11	812.318
YAL055W	155.78	158.57	156.76	156.456	158.334	157.18
YAL056W	1830.723	1820.981	1836.183	1727.574	1698.291	1712.237
YAL058W	603.755	612.968	609.626	588.548	595.317	594.636
YAL059W	171.766	175.54	175.642	175.295	178.645	178.329
YAL060W	409.409	413.221	412.117	382.386	383.282	382.792
YAL061W	845.991	861.626	858.592	766.999	773.912	778.043
