candidate	nt_len	aa_len	protein_identity	nt_identity	nt_diff
gh1-1_native_CDS	1431	477	0.0542	0.3153	493
gh1-1_native_His6	1449	483	0.0542	0.3153	493
gh1-1a_FigureS8	1449	483	0.0542	0.2417	546
cdt-1_native_CDS	1740	580	0.0500	0.2833	516
tag_eGFP_U55762	720	240	0.9667	0.9847	11
tag_sfGFP_PX636966	717	239	0.0460	0.2706	523
tag_sfGFP_MW132720	717	239	0.0460	0.2315	551
tag_sfGFP_JQ341914	717	239	0.0418	0.2957	505
CTRL_pRS426_backbone	5726	1908	0.0542	0.2222	560
CTRL_native_2micron	6318	2106	0.0417	0.2458	543
