gene_id	JCYL001B	JCYL002B	JCYL003B	JCYL001D	JCYL002D	JCYL003D
cdt-1EGFP	30.195172	29.734559	20.558099	73.014731	88.458256	65.779558
gene-Q0158	0.000566	0.000669	0.000528	0.002919	0.003227	0.002642
gh1-1	28.791294	27.899981	22.709224	82.391947	95.714	75.392486
NR_132153.1	12.810985	12.003526	12.168882	8.087592	9.463257	9.001319
NR_132166.1	1.407336	1.529659	0.880415	6.442135	7.648851	6.208347
NR_132171.1	2.221144	2.403133	2.170045	5.406807	5.568496	5.069609
NR_132176.1	3.965382	0	3.495097	2.259062	2.587402	2.12896
NR_132177.1	9.801747	9.804028	9.513441	6.981199	8.541631	7.008133
NR_132251.1	0.724987	0.747295	0.7416	0.876177	1.010992	0.73057
NR_172474.1	0.535773	0.503898	0.475842	0.727142	0.703759	0.664241
NR_172475.1	15.029019	16.560101	18.865704	15.847628	16.393328	13.687141
NR_172476.1	1.520654	1.520327	1.06712	3.81239	4.015457	2.324255
NR_172477.1	0.451967	0.495314	0.493028	0.254529	0.24292	0.264133
NR_172478.1	1.290317	1.181565	1.343688	1.359841	1.163505	1.407053
Q0020	0.000163	0.000247	0.000186	0.000661	0.000556	0.00038
Q0045	0.000663	0.00123	0.001589	0.011795	0.004338	0.005167
Q0050	0.000569	0.000549	0.000429	0.001237	0.001518	0.001103
Q0055	0.000732	0.00048	0.000415	0.002658	0.002864	0.002714
Q0060	6.2e-05	0.000108	7e-05	0.000157	6.1e-05	0
Q0065	0.017851	0.000113	0.010894	0.000228	0.00013	7.3e-05
Q0070	0	0.017349	3.9e-05	2.9e-05	0.069996	3.6e-05
Q0075	0	0	2.8e-05	0	0	0
Q0080	0	0	0	0	0	0
Q0085	0	0.000207	0.000265	0.001012	0.000245	0.000529
Q0105	0.024554	0.035022	0.020718	0.14176	0.205636	0.10738
Q0110	0.028333	4.4e-05	0.000114	0.000169	0.000197	0.00043
Q0115	0	2.5e-05	0.028803	4.8e-05	2.8e-05	0.109936
Q0120	0.000666	0.000436	0.000467	0.001832	0.002346	0.00233
Q0130	0.259979	0	0.149445	0.826689	0.507097	1.213843
Q0140	0	1.2e-05	0	0	0	0
Q0160	0	6.9e-05	0.000178	0	7.7e-05	0.000253
Q0250	0.002065	0.000894	0.000583	0.002217	0.003674	0.002846
Q0255	0	0	0	0	2.1e-05	0
Q0275	0.011054	0.013213	0.002151	0.014079	0.007713	0.008315
Q0285	0.000159	0	4.5e-05	0.000292	0.000379	0.000543
tA(UGC)Q	0	0	0	0	0	0
tC(GCA)Q	0	0	0	0	0	0
tD(GUC)Q	0	0	0	0	0	0
tE(UUC)Q	0	0	0	0	0	0
tF(GAA)Q	0	0	0	0	0	0
tG(UCC)Q	0	0	0	0	0	0
tH(GUG)Q	0	0	0	0	0	0.402688
tI(GAU)Q	0	0	0	0	0	0
tK(UUU)Q	0	0	0	0	0	0
tL(UAA)Q	0	0	0	0	0	0
tM(CAU)Q1	0	0	0	0	0	0
tM(CAU)Q2	0	0	0	0	0	0
tN(GUU)Q	0	0	0	0	0	0
tP(UGG)Q	0	0	0	0	0	0
tQ(UUG)Q	0	0	0	0	0	0
tR(ACG)Q2	0	0	0	0	0	0
tR(UCU)Q1	0	0	0	0	0	0
tS(GCU)Q1	0	0	0	0	0	0
tS(UGA)Q2	0	0	0	0	0	0
tT(UAG)Q2	0	0	0	0	0	0
tT(UGU)Q1	0	0	0	0	0	0
tV(UAC)Q	0	0	0	0	0	0
tW(UCA)Q	0	0	0	0	0	0
tY(GUA)Q	0	0	0	0	0	0
YAL001C	7.766804	7.393325	7.532649	7.158978	6.972347	7.159194
YAL002W	4.456062	4.475525	4.241658	4.436299	4.591819	4.486805
YAL003W	780.674764	818.715083	805.010897	1283.014185	1261.678214	1293.918319
YAL005C	158.348563	149.646188	140.0735	402.664034	468.908379	379.298554
YAL007C	116.801159	122.313946	118.531282	102.838662	92.628974	101.533941
YAL008W	63.305292	62.157071	61.538657	68.789561	78.164212	66.553162
YAL009W	24.007409	23.08553	22.876654	20.212456	20.163436	19.743225
YAL010C	12.230621	11.687884	11.63605	8.220206	9.745054	8.701694
YAL011W	13.199456	13.350679	12.469155	16.082417	15.066944	15.084935
YAL012W	479.917331	487.555589	419.373971	64.619722	71.177579	62.440125
YAL013W	8.65976	7.926851	7.725996	9.171661	8.844137	8.421609
YAL014C	108.881714	112.425324	114.94984	92.931837	86.019204	89.415145
YAL015C	39.730435	39.424324	39.586971	29.648537	28.778564	28.728478
YAL016W	71.888602	71.059599	68.776259	70.850591	74.699121	68.367222
YAL017W	14.351325	13.926087	14.553073	15.114104	15.234406	14.75909
YAL018C	9.218635	7.903258	6.873244	12.477513	19.295287	12.633216
YAL019W	13.362611	13.730449	12.933731	13.767517	13.867818	14.263513
YAL020C	2.672981	2.456007	2.338999	3.710295	3.423267	3.331704
YAL021C	7.989709	7.992599	7.656568	11.11206	11.77319	11.115454
YAL022C	21.947074	21.915391	22.347038	12.373851	13.715826	12.330718
YAL023C	116.544472	119.69283	129.063535	105.427162	100.293473	109.221773
YAL024C	3.450957	3.31	3.638642	3.519252	3.55962	4.025962
YAL025C	97.479355	106.788852	112.620033	125.945954	125.572261	131.998173
YAL026C	18.37976	19.619678	19.324132	15.024176	15.637315	15.31198
YAL027W	16.179213	15.217372	15.208945	17.512452	17.546842	19.078942
YAL028W	21.837504	21.867639	21.119556	19.808968	20.218818	18.513308
YAL029C	13.586363	13.52963	13.321415	11.098984	10.675832	11.508501
YAL030W	190.352606	183.640092	181.333347	178.957306	167.386873	160.549655
YAL031C	36.370563	35.391923	35.549719	27.384326	27.815953	26.882133
YAL032C	43.44421	43.273778	46.63066	57.501073	57.365785	56.39581
YAL033W	28.040716	26.656973	29.300477	30.721097	29.058284	26.270326
YAL034C	28.694193	30.674162	27.606357	35.759532	41.80503	36.574443
YAL034W-A	18.67855	17.880453	16.853263	19.566278	19.233656	18.759591
YAL035W	84.388501	87.086156	80.988241	111.537071	108.540289	109.520604
YAL036C	43.389197	47.923096	49.571104	50.316039	53.854232	54.873294
YAL037C-A	2.926986	2.608773	3.566323	2.240658	2.455349	2.141569
YAL037W	23.342517	23.084072	23.759151	15.473999	16.441882	15.157901
YAL038W	3046.953916	3000.719268	3247.786586	3035.140577	3310.91285	3007.237032
YAL039C	16.914277	16.879905	18.635945	83.393375	75.136305	75.524058
YAL040C	10.877935	12.53716	13.793411	9.93083	10.204197	10.66452
YAL041W	33.141058	33.781161	32.971819	25.269159	26.116806	25.744735
YAL042W	35.071254	33.798602	32.927684	35.340701	35.874479	33.864037
YAL043C	30.321475	32.190924	31.851215	26.653675	25.511542	25.777355
YAL044C	874.168792	780.655983	793.904294	332.719232	311.135982	303.559447
YAL044W-A	148.589503	146.524083	150.500558	263.341495	235.138315	251.940406
YAL046C	95.295323	90.134819	96.026959	137.617564	103.798007	128.398108
YAL047C	6.531849	6.404024	6.523804	5.853157	6.273812	5.667174
YAL048C	19.722189	19.403872	19.756027	14.469329	16.409561	15.223476
YAL049C	32.99071	31.017773	34.525238	42.777602	44.30943	42.249576
YAL051W	10.4219	10.905825	10.761864	9.450164	9.745485	9.384869
YAL053W	45.639264	47.455686	52.008333	64.889609	62.745153	69.495773
YAL054C	16.258627	15.064796	15.650361	48.864514	42.233678	45.171861
YAL055W	68.312212	63.506896	59.830528	86.498538	80.353896	81.242579
YAL056W	29.185917	30.310111	28.639714	31.214075	31.922944	31.550841
YAL058W	25.992064	25.747743	27.424762	19.356219	18.997499	18.896863
YAL059W	64.804181	67.199774	64.041769	71.225452	73.101521	73.721696
YAL060W	129.138878	119.338511	115.967288	201.965635	183.026174	187.779628
YAL061W	30.463412	27.379657	27.933222	29.439153	25.96415	26.267586
YAL062W	47.531971	46.192528	46.051521	121.148737	122.794589	118.070916
YAL063C	10.913372	11.058624	10.709568	12.621455	12.703278	13.596987
YAL063C-A	0.639175	0.670512	0.823887	0.816998	0.976361	0.635297
YAL064C-A	15.209538	15.88348	12.135534	14.46805	11.620247	15.087239
YAL064W	0.41592	0.463817	0.391163	0.344959	0.418014	0.258431
YAL064W-B	11.413578	14.49773	13.679511	10.252583	8.243686	9.497179
YAL065C	10.605598	9.502843	10.085509	7.030559	9.997058	7.75003
YAL067C	22.27594	21.065349	16.049445	5.968372	6.951586	5.902957
YAL067W-A	2.007606	2.886702	3.778009	3.533395	1.88062	2.595842
YAL068C	28.853468	32.89536	32.469793	39.176279	28.919851	29.932027
YAR002C-A	409.69252	407.570637	411.485959	411.451596	403.764932	414.385915
YAR002W	52.54722	52.730617	51.599147	36.557786	37.209035	36.096346
YAR003W	47.093469	46.018374	46.968423	32.786957	32.295662	34.053942
YAR007C	41.034652	38.172271	37.908542	58.281238	57.668087	53.989985
YAR008W	37.862318	36.721324	36.764441	44.962858	40.152692	44.935333
YAR009C	9.201498	8.182798	7.630853	1.358706	2.342095	2.404817
YAR010C	0	0	0	228.093529	200.284725	196.031364
YAR014C	64.560178	66.191952	66.452501	42.958084	42.765391	43.715632
YAR015W	377.327788	384.944116	322.457896	280.027436	286.33011	279.070644
YAR018C	25.57632	24.405409	25.812589	17.027272	16.52971	16.375613
YAR019C	4.68719	4.818441	4.913123	4.081073	4.203135	4.251689
YAR020C	0.515357	0.509372	0.395325	2.538567	2.622083	2.076484
YAR023C	36.077613	35.324788	33.931558	23.451517	24.725176	24.98071
