gene_id	JCYL001B	JCYL002B	JCYL003B	JCYL001D	JCYL002D	JCYL003D
cdt-1EGFP	26485.364	26256.956	28482.768	17627.998	16674.272	18076.046
gene-Q0158	875854.853	898059.845	869758.042	889385.502	910125.996	883709.797
gh1-1	16734.349	16484.951	17859.103	11377.728	10734.743	11605.936
NR_132153.1	2453.678	2509.838	2530.191	2462.411	2476.298	2484.491
NR_132166.1	387.164	392.518	394.657	336.683	336.417	340.657
NR_132171.1	1529.845	1499.091	1554.687	1209.537	1176.416	1201.962
NR_132176.1	1856	1856	1856	1856	1856	1856
NR_132177.1	1007.105	995.49	1006.166	1035.524	1016.388	1020.74
NR_132251.1	1721.751	1689.621	1722.982	1753.463	1661.199	1691.072
NR_172474.1	5790.067	5823.856	6156.542	4779.835	4648.415	4830.33
NR_172475.1	783.165	794.982	795.636	777.959	783.25	788.671
NR_172476.1	609.809	631.858	632.757	534.268	544.642	549.555
NR_172477.1	12749.44	12977.88	12888.439	12362.271	12337.095	12232.272
NR_172478.1	2463.825	2420.443	2384.915	2508.692	2424.763	2408.736
Q0020	485082.047	499752.819	482692.796	497170.222	512342.488	496306.24
Q0045	16096.001	16040.941	15785.743	15713.11	15363.568	15185.686
Q0050	156768.123	161692.556	158896.351	153328.273	155362.315	153013.947
Q0055	108323.073	111370.991	109991.994	105614.954	106423.502	105346.583
Q0060	158940.093	164139.661	161168.725	157367.23	160930.167	160492.92992063
Q0065	1622	157868.678	1622	149924.969	152218.15	150499.052
Q0070	38736.5026835363	1844	295266.281	294337.249	1844	295135.279
Q0075	396339.817	396339.817	396339.817	396339.817	396339.817	396339.817
Q0080	98	98	98	98	98	98
Q0085	41048.3053137597	42715.262	42267.205	40581.236	40156.77	39610.061
Q0105	6960.608	6996.493	7003.561	6825.824	6727.954	6732.64
Q0110	1223	202262.104	196977.476	197024.539	200570.727	195979.916
Q0115	39548.8626962917	356433.75	1505	342605.207	349803.553	1505
Q0120	241666.522	247654.564	244350.801	242969.595	247439.76	243103.606
Q0130	76.212	77.1490749088525	75.001	79.505	77.472	77.629
Q0140	747243.509999999	747243.51	747243.509999999	747243.509999999	747243.509999999	747243.509999999
Q0160	126508.770481428	128698.226	126249.319	126508.770481428	126880.563	124246.979
Q0250	19188.371	19756.634	19209.588	18526.272	18714.743	18391.284
Q0255	466553.51	466553.51	466553.51	466553.51	466553.51	466553.51
Q0275	5377.071	5345.954	5210.583	5251.74	5093.325	5036.774
Q0285	249023.299	251619.09881114	246455.826	252836.689	259079.752	250879.615
tA(UGC)Q	27	27	27	27	27	27
tC(GCA)Q	27	27	27	27	27	27
tD(GUC)Q	26	26	26	26	26	26
tE(UUC)Q	23	23	23	23	23	23
tF(GAA)Q	26	26	26	26	26	26
tG(UCC)Q	26	26	26	26	26	26
tH(GUG)Q	26	26	26	26	26	26
tI(GAU)Q	27	27	27	27	27	27
tK(UUU)Q	25	25	25	25	25	25
tL(UAA)Q	36	36	36	36	36	36
tM(CAU)Q1	27	27	27	27	27	27
tM(CAU)Q2	29	29	29	29	29	29
tN(GUU)Q	22	22	22	22	22	22
tP(UGG)Q	23	23	23	23	23	23
tQ(UUG)Q	27	27	27	27	27	27
tR(ACG)Q2	25	25	25	25	25	25
tR(UCU)Q1	24	24	24	24	24	24
tS(GCU)Q1	37	37	37	37	37	37
tS(UGA)Q2	41	41	41	41	41	41
tT(UAG)Q2	25	25	25	25	25	25
tT(UGU)Q1	27	27	27	27	27	27
tV(UAC)Q	27	27	27	27	27	27
tW(UCA)Q	25	25	25	25	25	25
tY(GUA)Q	35	35	35	35	35	35
YAL001C	5210.504	5352.758	5399.886	5238.86	5256.974	5314.508
YAL002W	6887.478	7130.003	7208.652	6878.094	7024.113	7103.129
YAL003W	232.454	230.946	233.035	222.937	221.007	223.321
YAL005C	1722.278	1699.731	1773.384	1284.331	1252.922	1303.701
YAL007C	230.363	231.293	231.202	237.192	235.703	234.695
YAL008W	434.107	436.818	436.217	450.263	445.935	444.576
YAL009W	627.645	635.295	643.306	644.254	643.445	644.318
YAL010C	1258.73	1291.831	1313.875	1314.287	1325.301	1340.367
YAL011W	1187.355	1228.819	1227.889	1216.851	1240.471	1248.619
YAL012W	628.979	625.85	626.392	585.352	579.672	585.535
YAL013W	4106.942	4415.486	4722.173	2942.622	2999.454	3206.258
YAL014C	242.023	243.626	241.038	239.669	240.913	239.221
YAL015C	507.424	512.657	515.022	468.584	471.3	473.047
YAL016W	954.311	957.653	959.891	970.343	962.692	963.263
YAL017W	2415.36	2433.444	2435.3	2470.034	2454.961	2460.86
YAL018C	455.648	450.24	456.606	472.105	461.667	464.105
YAL019W	2195.956	2229.537	2235.843	2233.033	2237.959	2246.876
YAL020C	6141.249	6428.113	6890.873	4154.048	4168.675	4415.218
YAL021C	5163.091	5159.106	5554.371	3656.097	3527.903	3745.083
YAL022C	1314.903	1328.761	1331.649	1181.186	1176.491	1186.179
YAL023C	796.996	802.097	802.355	775.23	777.733	780.292
YAL024C	2819.045	2846.308	2855.524	2922.813	2910.865	2920.467
YAL025C	261.186	265.993	264.934	264.778	268.818	267.7
YAL026C	1951.774	1954.479	1954.979	2021.848	2004.764	2000.707
YAL027W	405.35	408.487	405.33	422.224	420.913	419.807
YAL028W	676.402	669.869	674.007	678.114	669.856	671.288
YAL029C	2265.521	2296.566	2307.92	2362.058	2367.99	2379.004
YAL030W	123.084	127.079	125.539	124.872	127.618	127.23
YAL031C	865.906	864.459	867.361	886.548	879.888	881.769
YAL032C	391.305	395.23	392.759	386.061	389.666	388.752
YAL033W	240.242	245.776	246.735	247.105	251.126	251.482
YAL034C	686.015	680.2	681.284	668.342	656.874	660.121
YAL034W-A	361.189	366.413	367.114	370.346	372.764	371.7
YAL035W	1200.004	1219.624	1217.746	1202.562	1215.139	1215.426
YAL036C	524	523.999	522.084	474.337	472.703	473.187
YAL037C-A	44	44	44	44	44	44
YAL037W	319.578	319.771	323.622	326.527	324.356	326.021
YAL038W	648.388	649.365	662.674	576.933	576.618	590.348
YAL039C	1510.525	1554.097	1584.199	1198.471	1207.67	1232.974
YAL040C	1503.594	1524.77	1552.055	1371.659	1362.88	1391.14
YAL041W	1178.067	1171.24	1178.233	1215.009	1198.116	1201.742
YAL042W	2577.577	2691.077	2799.075	1946.959	1971.425	2043.024
YAL043C	1122.62	1119.932	1126.432	1020.277	1015.188	1027.601
YAL044C	226.972	232.625	232.116	216.506	219.796	220.359
YAL044W-A	99.541	99.792	98.306	97.276	97.154	97.036
YAL046C	102.191	104.035	102.715	99.579	101.433	101.52
YAL047C	1777.549	1786.889	1793.68	1837.37	1817.498	1823.446
YAL048C	751.461	754.014	757.403	769.375	766.7	768.901
YAL049C	278.367	278.972	279.519	277.907	276.403	276.309
YAL051W	2073.188	2068.607	2078.827	2148.228	2117.365	2120.783
YAL053W	1085.112	1097.579	1096.959	1071.51	1075.037	1078.54
YAL054C	834.77	836.385	832.915	811.075	811.13	812.386
YAL055W	155.753	158.639	156.801	156.434	158.406	157.224
YAL056W	1830.573	1820.99	1836.262	1727.424	1698.588	1712.636
YAL058W	603.351	612.474	609.369	588.288	595.048	594.501
YAL059W	171.369	175.412	175.543	174.868	178.555	178.234
YAL060W	409.805	413.596	412.413	382.87	383.731	383.101
YAL061W	846.172	861.696	858.693	767.179	773.935	778.04
YAL062W	1387.05	1366.721	1370.281	1221.558	1196.615	1202.868
YAL063C	1083.069	1074.171	1072.365	1065.606	1057.093	1061.653
YAL063C-A	867.957	895.464	897.887	894.986	905.327	906.417
YAL064C-A	83.548	81.883	81.49	82.433	80.942	80.754
YAL064W	285.826	285.555	286.542	285.799	281.944	283.593
YAL064W-B	76.543	76.894	76.149	75.529	75.769	75.186
YAL065C	96.365	97.471	96.96	94.689	95.867	95.872
YAL067C	1482.277	1488.427	1500.098	1511.449	1496.185	1498.751
YAL067W-A	49	49	49	49	49	49
YAL068C	204.514	206.081	208.65	187.827	187.907	191.963
YAR002C-A	139.62	139.734	140.117	141.751	141.885	141.692
YAR002W	569.549	572.843	579.764	585.205	586.237	591.13
YAR003W	458.591	457.618	456.992	470.589	466.807	466.402
YAR007C	665.846	670.11	674.721	686.088	685.664	686.875
YAR008W	286.246	287.339	288.104	296.194	294.989	295.21
YAR009C	1892.963	1901.024	1900.415	1967.721	1950.56	1955.669
YAR010C	459.73332259359	459.73332259359	459.73332259359	461.219	457.935	460.052
YAR014C	668.579	672.312	670.626	671.862	673.126	671.558
YAR015W	309.992	311.286	309.602	299.728	300.133	300.699
YAR018C	511.676	522.79	522.371	524.966	532.373	532.586
YAR019C	2737.078	2737.724	2746.719	2804.296	2747.939	2775.266
YAR020C	4753.545	5255.163	5777.51	3195.44	3436.13	3746.204
YAR023C	157.892	158.223	158.886	161.502	161.272	160.942
YAR027W	293.829	298.505	300.55	303.534	305.369	305.15
YAR028W	281.054	283.666	281.621	274.593	275	273.006
YAR029W	58.267	58.315	58.453	60.201	60.109	60.022
YAR031W	827.643	771.115	775.052	838.003	767.001	776.553
YAR033W	541.598	560.3	565.491	556.095	563.564	562.786
YAR035C-A	32	32	32	32	32	32
YAR035W	14182.775	14337.815	15176.499	10087.932	9973.356	10475.122
YAR042W	7861.964	7691.031	7841.619	7570.864	7321.681	7483.941
YAR050W	1446.499	1435.537	1431.422	1398.074	1384.215	1390.542
YAR061W	284.887	284.62	285.694	286.753	286.211	286.412
YAR064W	373.46	371.17	373.097	332.808	326.905	328.499
YAR066W	471.001	472.931	482.711	409.217	403.901	416.72
YAR068W	132.559	131.959	132.254	129.09	128.58	129.403
YAR071W	432.654	433.812	433.926	432.5	431.692	431.902
YBL001C	86.294	85.138	85.617	88.075	86.437	86.518
YBL002W	115.446	114.097	114.344	117.19	115.395	115.894
YBL003C	103.115	104.962	104.59	105.247	106.558	106.736
YBL004W	8941.941	9049.713	9075.994	9220.433	9217.548	9241.404
YBL005W	9875.796	9807.767	10033.58	9915.945	9700.794	9810.566
YBL005W-A	829.363208757176	829.363208757176	829.363208757176	825.663	829.363208757176	833.08
YBL005W-B	3115.879	3111.027	3105.911	3211.373	3156.382	3167.733
YBL006C	289.478	296.479	294.289	272.053	275.459	277.152
YBL007C	2605.717	2571.336	2627.534	2228.806	2178.052	2216.413
YBL008W	1006.318	1022.755	1025.924	1030.57	1039.941	1040.861
YBL008W-A	137.115	139.311	141.824	145.192	145.558	146.502
YBL009W	939.795	927.696	941.771	964.553	946.482	956.754
YBL010C	242.185	243.267	243.781	248.837	248.862	248.138
YBL011W	843.836	852.696	851.507	836.888	840.061	839.308
YBL013W	1837.274	1870.208	1909.917	1522.228	1525.993	1564.14
YBL014C	1412.515	1452.851	1447.231	1401.285	1417.481	1415.253
YBL015W	623.091	627.684	621.123	593.041	594.29	593.288
YBL016W	625.522	627.878	626.321	576.319	571.763	576.498
YBL017C	2112.853	2132.391	2147.049	2171.716	2177.152	2182.321
YBL018C	135.47	140.252	141.175	140.837	144.195	143.646
YBL019W	1369.704	1440.116	1453.493	1413.4	1464.325	1481.473
YBL020W	865.681	866.109	870.671	894.103	885.865	887.657
YBL021C	149.922	153.271	151.311	147.102	150.16	150.227
YBL022C	1507.758	1525.056	1523.949	1527.127	1532.008	1534.92
YBL023C	1151.997	1160.55	1156.976	1132.165	1130.418	1128.999
YBL024W	794.04	801.25	804.026	817.737	819.111	819.08
YBL025W	107.548	109.678	109.38	109.36	111.239	110.895
YBL026W	123.205	127.072	127.754	129.027	131.593	131.401
YBL027W	114.849	116.085	115.263	113.073	114.367	114.236
YBL028C	176.997	181.018	182.627	186.088	188.227	189.221
YBL029C-A	87.245	87.243	87.722	89.223	89.141	89.122
YBL029W	34095.844	35016.936	33800.599	35020.269	35479.159	34510.306
YBL030C	274.29	276.389	276.955	274.209	276.474	277.397
YBL031W	354.338	353.69	355.583	363.054	360.291	360.946
YBL032W	21813.382	22491.762	23330.22	18612.19	18784.147	19531.976
YBL033C	476.53	486.471	478.221	453.109	459.629	458.251
YBL034C	13399.286	13458.084	13459.491	13125.818	12862.617	12868.268
YBL035C	1040.021	1049.904	1062.175	1065.676	1066.566	1075.008
YBL036C	387.765	411.336	417.829	403.707	421.356	424.692
YBL037W	1919.568	1891.674	1887.011	1982.65	1940.833	1939.735
YBL038W	254.777	258.325	257.361	262.308	264.276	262.609
YBL039C	513.591	516.41	516.887	523.352	524.087	522.055
YBL039W-B	58.83	58.437	59.027	61.138	60.128	60.029
YBL040C	212.304	212.008	212.936	218.98	217.726	218.063
YBL041W	238.864	236.425	236.949	243.701	240.221	240.001
YBL042C	559.595	558.377	557.891	565.393	561.595	562.164
YBL043W	397.391	403.015	406.49	379.524	382.701	387.218
YBL044W	506.219	526.656	535.659	395.198	401.459	411.026
YBL045C	535.997	525.048	531.836	511.021	500.39	506.033
YBL046W	759.445	769.362	763.845	737.156	735.083	733.17
YBL047C	3718.219	3810.778	4007.072	3026.81	3020.302	3132.403
YBL048W	4725.168	4833.541	4874.201	4553.171	4567.635	4581.334
YBL049W	90.787	90.011	89.857	92.589	91.459	90.919
YBL050W	472.697	468.719	467.409	485.388	474.412	472.083
YBL051C	1061.587	1048.225	1056.77	1091.958	1066.304	1074.971
YBL052C	1929.093	1952.468	1944.314	1986.359	1981.723	1975.568
YBL054W	692.089	702.471	710.43	651.608	653.208	660.831
YBL055C	351.967	354.833	353.966	359.367	360.182	358.916
YBL056W	527.442	537.133	536.454	539.672	544.384	543.232
YBL057C	158.254	162.283	161.804	157.405	161.162	160.963
YBL058W	638.868	638.467	637.999	634.221	627.319	629.544
YBL059C-A	89.914	91.005	91.493	93.522	94.189	94.196
YBL059W	355.807	346.215	348.104	373.212	359.303	357.6
YBL060W	1031.656	1037.539	1040.995	1069.181	1063.675	1062.254
YBL061C	1425.083	1515.102	1501.888	1460.022	1516.084	1511.797
YBL063W	7811.345	7874.565	7861.623	7764.775	7673.164	7669.667
YBL064C	316.616	320.606	323.889	318.059	321.269	323.53
YBL066C	1346.335	1344.882	1351.165	1377.909	1365.823	1368.606
YBL067C	1311.098	1322.731	1331.479	1356.275	1351.55	1354.634
YBL068W	999.248	1026.245	1018.487	991.847	989.906	992.896
YBL069W	532.097	535.299	531.147	529.727	528.738	526.966
YBL071C	110.859	113.244	113.254	115.591	116.485	116.445
YBL071C-B	49	49	49	49	49	49
YBL071W-A	188.249	196.45	198.24	158.825	165.091	168.709
YBL072C	141.318	142.464	142.196	139.39	140.673	141.069
YBL074C	456.005	452.683	455.761	471.389	465.133	466.681
YBL075C	3275.435	3247.605	3400.186	2414.41	2293.748	2384.719
YBL076C	1379.996	1381.481	1387.515	1418.093	1408.517	1408.51
YBL078C	82.379	83.505	83.524	83.837	84.815	84.564
YBL079W	3658.304	3691.699	3738.613	3685.236	3656.531	3703.955
YBL080C	705.643	706.731	707.801	702.063	700.011	700.696
YBL081W	360.497	353.413	354.411	356.049	349.664	352.418
YBL082C	1049.95	1046.869	1061.412	915.611	904.543	915.742
YBL084C	56338.506	58415.465	56288.398	58467.863	60459.78	58788.266
YBL085W	1680.373	1706.393	1715.8	1716.959	1729.502	1742.286
YBL086C	483.309	491.791	494.586	490.331	495.495	497.168
YBL087C	110.322	111.729	110.032	108.847	109.954	109.486
YBL088C	12011.084	12246.76	12360.15	12123.463	12162.959	12228.63
YBL089W	1041.225	1074.76	1065.089	1059.165	1067.802	1068.608
YBL090W	242.245	243.657	245.388	250.664	249.309	251.413
YBL091C	371.56	378.218	376.032	372.725	378.095	376.842
YBL091C-A	184.174	188.32	187.478	180.664	183.813	184.568
