gene_id	JCYL001B	JCYL002B	JCYL003B	JCYL001D	JCYL002D	JCYL003D
cdt-1EGFP	30.181214	29.657875	20.546056	73.039792	88.357152	65.716923
gene-Q0158	0.000568	0.000679	0.000515	0.002916	0.003255	0.002646
gh1-1	28.779997	27.877651	22.685985	82.337146	95.626742	75.326948
NR_132153.1	12.709477	11.90764	12.105238	8.041735	9.437237	8.945793
NR_132166.1	1.413201	1.505878	0.843577	6.466331	7.580159	6.138106
NR_132171.1	2.194131	2.401274	2.185021	5.399353	5.604878	5.057657
NR_132176.1	3.99346	0	3.500304	2.269487	2.571822	2.124497
NR_132177.1	9.892288	9.832777	9.439645	7.054059	8.596961	6.95823
NR_132251.1	0.722509	0.742543	0.720304	0.880442	0.990455	0.723415
NR_172474.1	0.544494	0.501602	0.478348	0.711829	0.708513	0.665785
NR_172475.1	14.73447	16.463106	18.699909	15.730477	16.343499	13.521699
NR_172476.1	1.533039	1.534366	1.08647	3.829774	3.926605	2.247943
NR_172477.1	0.450877	0.496509	0.487623	0.253519	0.244072	0.260316
NR_172478.1	1.295077	1.197823	1.371588	1.372892	1.178357	1.428081
Q0020	0.000146	0.000215	0.00019	0.000661	0.000545	0.000389
Q0045	0.000719	0.000608	0.001632	0.01213	0.004413	0.005304
Q0050	0.000518	0.000558	0.00044	0.001157	0.001544	0.001131
Q0055	0.000749	0.000487	0.000426	0.002724	0.002816	0.002782
Q0060	6.4e-05	0.00011	7.2e-05	0.000161	6.2e-05	0
Q0065	0.005403	0.000115	0.011163	0.000234	0.000132	7.5e-05
Q0070	0	0.018348	4e-05	2.9e-05	0.071101	3.7e-05
Q0075	0	0	2.9e-05	0	0	0
Q0080	0	0	0	0	0	0
Q0085	0	0.00021	0.000272	0.001041	0.000249	0.000543
Q0105	0.02524	0.035629	0.021255	0.144498	0.204712	0.108214
Q0110	0.028988	4.5e-05	0.000117	0.000173	2e-04	0.00044
Q0115	0	2.5e-05	0.029503	4.9e-05	2.9e-05	0.107378
Q0120	0.000639	0.000406	0.000478	0.001733	0.002339	0.002341
Q0130	0.266742	0	0.153292	0.742384	0.515694	1.106726
Q0140	0	1.2e-05	0	0	0	0
Q0160	0	7e-05	0.000182	0	7.9e-05	0.000259
Q0250	0.002123	0.000912	6e-04	0.00228	0.003748	0.002926
Q0255	0	0	0	0	2.1e-05	0
Q0275	0.01136	0.013462	0.002209	0.014478	0.007857	0.008537
Q0285	0.000163	0	4.7e-05	3e-04	0.000385	0.000513
tA(UGC)Q	0	0	0	0	0	0
tC(GCA)Q	0	0	0	0	0	0
tD(GUC)Q	0	0	0	0	0	0
tE(UUC)Q	0	0	0	0	0	0
tF(GAA)Q	0	0	0	0	0	0
tG(UCC)Q	0	0	0	0	0	0
tH(GUG)Q	0	0	0	0	0	0.412831
tI(GAU)Q	0	0	0	0	0	0
tK(UUU)Q	0	0	0	0	0	0
tL(UAA)Q	0	0	0	0	0	0
tM(CAU)Q1	0	0	0	0	0	0
tM(CAU)Q2	0	0	0	0	0	0
tN(GUU)Q	0	0	0	0	0	0
tP(UGG)Q	0	0	0	0	0	0
tQ(UUG)Q	0	0	0	0	0	0
tR(ACG)Q2	0	0	0	0	0	0
tR(UCU)Q1	0	0	0	0	0	0
tS(GCU)Q1	0	0	0	0	0	0
tS(UGA)Q2	0	0	0	0	0	0
tT(UAG)Q2	0	0	0	0	0	0
tT(UGU)Q1	0	0	0	0	0	0
tV(UAC)Q	0	0	0	0	0	0
tW(UCA)Q	0	0	0	0	0	0
tY(GUA)Q	0	0	0	0	0	0
YAL001C	7.709032	7.381745	7.544469	7.148158	6.980959	7.182611
YAL002W	4.434453	4.46783	4.239909	4.42262	4.580484	4.485986
YAL003W	781.855982	818.946173	806.098626	1284.400376	1262.974618	1291.745631
YAL005C	158.407355	149.996998	140.115665	403.684307	468.584506	379.390902
YAL007C	116.340828	122.307955	118.132882	102.626153	93.031845	101.423446
