sample	mt_gene	start	end	mean_depth	status
SRR1166442_JCYL001B_glucose	COX1	13818	26701	0.0	trace
SRR1166442_JCYL001B_glucose	AI5_ALPHA	13818	23167	0.01	trace
SRR1166442_JCYL001B_glucose	AI4	13818	21935	0.01	trace
SRR1166442_JCYL001B_glucose	AI3	13818	19996	0.01	trace
SRR1166442_JCYL001B_glucose	AI2	13818	18830	0.01	trace
SRR1166442_JCYL001B_glucose	AI1	13818	16322	0.02	trace
SRR1166442_JCYL001B_glucose	AI5_BETA	24156	25255	0.0	not_detected
SRR1166442_JCYL001B_glucose	ATP8	27666	27812	0.0	not_detected
SRR1166442_JCYL001B_glucose	ATP6	28487	29266	0.0	not_detected
SRR1166442_JCYL001B_glucose	COB	36540	43647	0.01	trace
SRR1166442_JCYL001B_glucose	BI4	36540	42251	0.01	trace
SRR1166442_JCYL001B_glucose	BI3	36540	40265	0.01	trace
SRR1166442_JCYL001B_glucose	BI2	36540	38579	0.02	trace
SRR1166442_JCYL001B_glucose	OLI1	46723	46953	0.0	not_detected
SRR1166442_JCYL001B_glucose	VAR1	48901	50097	0.04	trace
SRR1166442_JCYL001B_glucose	SCEI	61022	61729	0.0	not_detected
SRR1166442_JCYL001B_glucose	COX2	73758	74513	0.0	not_detected
SRR1166442_JCYL001B_glucose	Q0255	74495	75984	0.0	not_detected
SRR1166442_JCYL001B_glucose	COX3	79213	80022	0.0	not_detected
SRR1166443_JCYL002B_glucose	COX1	13818	26701	0.0	not_detected
SRR1166443_JCYL002B_glucose	AI5_ALPHA	13818	23167	0.0	not_detected
SRR1166443_JCYL002B_glucose	AI4	13818	21935	0.0	not_detected
SRR1166443_JCYL002B_glucose	AI3	13818	19996	0.0	not_detected
SRR1166443_JCYL002B_glucose	AI2	13818	18830	0.0	not_detected
SRR1166443_JCYL002B_glucose	AI1	13818	16322	0.0	not_detected
SRR1166443_JCYL002B_glucose	AI5_BETA	24156	25255	0.0	not_detected
SRR1166443_JCYL002B_glucose	ATP8	27666	27812	0.0	not_detected
SRR1166443_JCYL002B_glucose	ATP6	28487	29266	0.0	not_detected
SRR1166443_JCYL002B_glucose	COB	36540	43647	0.0	not_detected
SRR1166443_JCYL002B_glucose	BI4	36540	42251	0.0	not_detected
SRR1166443_JCYL002B_glucose	BI3	36540	40265	0.0	not_detected
SRR1166443_JCYL002B_glucose	BI2	36540	38579	0.0	not_detected
SRR1166443_JCYL002B_glucose	OLI1	46723	46953	0.0	not_detected
SRR1166443_JCYL002B_glucose	VAR1	48901	50097	0.0	not_detected
SRR1166443_JCYL002B_glucose	SCEI	61022	61729	0.0	not_detected
SRR1166443_JCYL002B_glucose	COX2	73758	74513	0.0	not_detected
SRR1166443_JCYL002B_glucose	Q0255	74495	75984	0.0	not_detected
SRR1166443_JCYL002B_glucose	COX3	79213	80022	0.0	not_detected
SRR1166444_JCYL003B_glucose	COX1	13818	26701	0.0	not_detected
SRR1166444_JCYL003B_glucose	AI5_ALPHA	13818	23167	0.0	not_detected
SRR1166444_JCYL003B_glucose	AI4	13818	21935	0.0	not_detected
SRR1166444_JCYL003B_glucose	AI3	13818	19996	0.0	not_detected
SRR1166444_JCYL003B_glucose	AI2	13818	18830	0.0	not_detected
SRR1166444_JCYL003B_glucose	AI1	13818	16322	0.0	not_detected
SRR1166444_JCYL003B_glucose	AI5_BETA	24156	25255	0.0	not_detected
SRR1166444_JCYL003B_glucose	ATP8	27666	27812	0.0	not_detected
SRR1166444_JCYL003B_glucose	ATP6	28487	29266	0.0	not_detected
SRR1166444_JCYL003B_glucose	COB	36540	43647	0.01	trace
SRR1166444_JCYL003B_glucose	BI4	36540	42251	0.02	trace
SRR1166444_JCYL003B_glucose	BI3	36540	40265	0.0	not_detected
SRR1166444_JCYL003B_glucose	BI2	36540	38579	0.0	not_detected
SRR1166444_JCYL003B_glucose	OLI1	46723	46953	0.0	not_detected
SRR1166444_JCYL003B_glucose	VAR1	48901	50097	0.0	not_detected
SRR1166444_JCYL003B_glucose	SCEI	61022	61729	0.0	not_detected
SRR1166444_JCYL003B_glucose	COX2	73758	74513	0.0	not_detected
SRR1166444_JCYL003B_glucose	Q0255	74495	75984	0.0	not_detected
SRR1166444_JCYL003B_glucose	COX3	79213	80022	0.0	not_detected
