sample	chrom	feature	start	end	mean_depth
SRR1166442_JCYL001B_glucose	NC_001134.8	TYR1	569842	571200	2.11
SRR1166442_JCYL001B_glucose	NC_001139.9	TYW3	405776	406597	3.48
SRR1166442_JCYL001B_glucose	NC_001139.9	TYS1	866336	867520	10.58
SRR1166442_JCYL001B_glucose	NC_001144.5	RDN25-1	451786	455181	11.66
SRR1166442_JCYL001B_glucose	NC_001144.5	RDN58-1	455414	455571	4.85
SRR1166442_JCYL001B_glucose	NC_001144.5	RDN18-1	455933	457732	7.08
SRR1166442_JCYL001B_glucose	NC_001144.5	RDN5-1	459676	459796	2.83
SRR1166442_JCYL001B_glucose	NC_001144.5	RDN5-2	468813	468931	3.71
SRR1166442_JCYL001B_glucose	NC_001144.5	RDN5-3	472465	472583	2.2
SRR1166442_JCYL001B_glucose	NC_001144.5	RDN5-4	482045	482163	2.33
SRR1166442_JCYL001B_glucose	NC_001144.5	RDN5-5	485697	485815	0.76
SRR1166442_JCYL001B_glucose	NC_001147.6	TYE7	977194	978069	5.34
SRR1166442_JCYL001B_glucose	NC_001148.4	TYW1	159909	162341	3.07
SRR1166443_JCYL002B_glucose	NC_001134.8	TYR1	569842	571200	2.67
SRR1166443_JCYL002B_glucose	NC_001139.9	TYW3	405776	406597	2.4
SRR1166443_JCYL002B_glucose	NC_001139.9	TYS1	866336	867520	9.74
SRR1166443_JCYL002B_glucose	NC_001144.5	RDN25-1	451786	455181	12.15
SRR1166443_JCYL002B_glucose	NC_001144.5	RDN58-1	455414	455571	5.49
SRR1166443_JCYL002B_glucose	NC_001144.5	RDN18-1	455933	457732	8.22
SRR1166443_JCYL002B_glucose	NC_001144.5	RDN5-1	459676	459796	10.81
SRR1166443_JCYL002B_glucose	NC_001144.5	RDN5-2	468813	468931	5.74
SRR1166443_JCYL002B_glucose	NC_001144.5	RDN5-3	472465	472583	6.81
SRR1166443_JCYL002B_glucose	NC_001144.5	RDN5-4	482045	482163	3.93
SRR1166443_JCYL002B_glucose	NC_001144.5	RDN5-5	485697	485815	6.24
SRR1166443_JCYL002B_glucose	NC_001147.6	TYE7	977194	978069	5.89
SRR1166443_JCYL002B_glucose	NC_001148.4	TYW1	159909	162341	2.95
SRR1166444_JCYL003B_glucose	NC_001134.8	TYR1	569842	571200	3.31
SRR1166444_JCYL003B_glucose	NC_001134.8	TYC1	800123	800242	0.42
SRR1166444_JCYL003B_glucose	NC_001139.9	TYW3	405776	406597	3.84
SRR1166444_JCYL003B_glucose	NC_001139.9	TYS1	866336	867520	10.69
SRR1166444_JCYL003B_glucose	NC_001144.5	RDN25-1	451786	455181	10.99
SRR1166444_JCYL003B_glucose	NC_001144.5	RDN58-1	455414	455571	5.07
SRR1166444_JCYL003B_glucose	NC_001144.5	RDN18-1	455933	457732	6.99
SRR1166444_JCYL003B_glucose	NC_001144.5	RDN5-1	459676	459796	10.24
SRR1166444_JCYL003B_glucose	NC_001144.5	RDN5-2	468813	468931	11.03
SRR1166444_JCYL003B_glucose	NC_001144.5	RDN5-3	472465	472583	4.89
SRR1166444_JCYL003B_glucose	NC_001144.5	RDN5-4	482045	482163	6.51
SRR1166444_JCYL003B_glucose	NC_001144.5	RDN5-5	485697	485815	8.29
SRR1166444_JCYL003B_glucose	NC_001147.6	TYE7	977194	978069	5.81
SRR1166444_JCYL003B_glucose	NC_001148.4	TYW1	159909	162341	2.71
SRR1166445_JCYL001D_cellobiose	NC_001134.8	TYR1	569842	571200	1.8
SRR1166445_JCYL001D_cellobiose	NC_001134.8	TYC1	800123	800242	0.78
SRR1166445_JCYL001D_cellobiose	NC_001139.9	TYW3	405776	406597	2.52
SRR1166445_JCYL001D_cellobiose	NC_001139.9	TYS1	866336	867520	5.84
SRR1166445_JCYL001D_cellobiose	NC_001144.5	RDN25-1	451786	455181	32.51
SRR1166445_JCYL001D_cellobiose	NC_001144.5	RDN58-1	455414	455571	9.09
SRR1166445_JCYL001D_cellobiose	NC_001144.5	RDN18-1	455933	457732	20.64
SRR1166445_JCYL001D_cellobiose	NC_001144.5	RDN5-1	459676	459796	1.98
SRR1166445_JCYL001D_cellobiose	NC_001144.5	RDN5-2	468813	468931	2.42
SRR1166445_JCYL001D_cellobiose	NC_001144.5	RDN5-3	472465	472583	0.06
SRR1166445_JCYL001D_cellobiose	NC_001144.5	RDN5-4	482045	482163	1.65
SRR1166445_JCYL001D_cellobiose	NC_001144.5	RDN5-5	485697	485815	0.6
SRR1166445_JCYL001D_cellobiose	NC_001147.6	TYE7	977194	978069	5.47
SRR1166445_JCYL001D_cellobiose	NC_001148.4	TYW1	159909	162341	1.83
SRR1166446_JCYL002D_cellobiose	NC_001134.8	TYR1	569842	571200	1.82
SRR1166446_JCYL002D_cellobiose	NC_001139.9	TYW3	405776	406597	2.69
SRR1166446_JCYL002D_cellobiose	NC_001139.9	TYS1	866336	867520	5.87
SRR1166446_JCYL002D_cellobiose	NC_001144.5	RDN25-1	451786	455181	39.19
SRR1166446_JCYL002D_cellobiose	NC_001144.5	RDN58-1	455414	455571	16.09
SRR1166446_JCYL002D_cellobiose	NC_001144.5	RDN18-1	455933	457732	29.99
SRR1166446_JCYL002D_cellobiose	NC_001144.5	RDN5-1	459676	459796	12.65
SRR1166446_JCYL002D_cellobiose	NC_001144.5	RDN5-2	468813	468931	8.29
SRR1166446_JCYL002D_cellobiose	NC_001144.5	RDN5-3	472465	472583	3.5
SRR1166446_JCYL002D_cellobiose	NC_001144.5	RDN5-4	482045	482163	6.06
SRR1166446_JCYL002D_cellobiose	NC_001144.5	RDN5-5	485697	485815	5.88
SRR1166446_JCYL002D_cellobiose	NC_001147.6	TYE7	977194	978069	5.61
SRR1166446_JCYL002D_cellobiose	NC_001148.4	TYW1	159909	162341	2.61
SRR1166447_JCYL003D_cellobiose	NC_001134.8	TYR1	569842	571200	2.25
SRR1166447_JCYL003D_cellobiose	NC_001134.8	TYC1	800123	800242	0.94
SRR1166447_JCYL003D_cellobiose	NC_001139.9	TYW3	405776	406597	2.56
SRR1166447_JCYL003D_cellobiose	NC_001139.9	TYS1	866336	867520	6.21
SRR1166447_JCYL003D_cellobiose	NC_001144.5	RDN25-1	451786	455181	31.75
SRR1166447_JCYL003D_cellobiose	NC_001144.5	RDN58-1	455414	455571	13.63
SRR1166447_JCYL003D_cellobiose	NC_001144.5	RDN18-1	455933	457732	19.79
SRR1166447_JCYL003D_cellobiose	NC_001144.5	RDN5-1	459676	459796	17.78
SRR1166447_JCYL003D_cellobiose	NC_001144.5	RDN5-2	468813	468931	11.31
SRR1166447_JCYL003D_cellobiose	NC_001144.5	RDN5-3	472465	472583	6.61
SRR1166447_JCYL003D_cellobiose	NC_001144.5	RDN5-4	482045	482163	7.56
SRR1166447_JCYL003D_cellobiose	NC_001144.5	RDN5-5	485697	485815	6.11
SRR1166447_JCYL003D_cellobiose	NC_001147.6	TYE7	977194	978069	5.89
SRR1166447_JCYL003D_cellobiose	NC_001148.4	TYW1	159909	162341	2.09
